,robot_speed,robot_speed_kmh,simulation_duration,generation,test_loss,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,delivery_rate,utilization_rate,num_risks,simulations,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,sequential_execution_time,execution_time
0,42,4.2,5,0,2.0720469083104813,11,12,11,14,12,13,12,13,9,11,9,11,0,0,0,0,0,0,0,0,0.39414918,0.85259795,5.3868403,1,0.85259795,0.39414918,5.3868403,0,59713643048,50,0.0009999275207519531,0.0009999275207519531,2.2826693058013916
1,85,8.5,5,0,2.0720469083104813,10,13,10,13,10,11,11,12,9,11,11,13,10,11,10,13,10,11,0,0,0.045173854,0.87463874,9.353941,1,0.87463874,0.045173854,9.353941,1,59713643048,50,0.0,0.0,1.3929448127746582
2,153,15.3,5,0,2.0720469083104813,11,14,10,14,9,13,12,14,11,12,11,12,0,0,0,0,0,0,0,0,0.22045346,0.8865511,9.318015,1,0.8865511,0.22045346,9.318015,2,59713643048,50,0.0009999275207519531,0.0009999275207519531,1.3977270126342773
3,81,8.1,5,0,2.0720469083104813,9,11,12,14,12,14,12,14,12,14,10,11,12,14,12,14,0,0,0,0,0.26791042,0.99832517,7.6605663,1,0.99832517,0.26791042,7.6605663,3,59713643048,50,0.0,0.0,1.3564553260803223
4,139,13.9,5,0,2.0720469083104813,12,14,12,14,9,13,9,11,11,13,12,14,11,14,11,14,0,0,0,0,0.17472132,1.0136706,9.422206,1,1.0136706,0.17472132,9.422206,4,59713643048,50,0.0,0.0,1.3850617408752441
5,165,16.5,5,0,2.0720469083104813,10,12,12,14,9,13,10,14,10,13,12,14,0,0,0,0,0,0,0,0,0.23914059,0.8589509,9.300009,1,0.8589509,0.23914059,9.300009,5,59713643048,50,0.0,0.0,1.3699698448181152
6,193,19.3,5,0,2.0720469083104813,9,12,9,12,9,10,9,12,11,14,11,14,12,14,10,13,12,14,0,0,0.0918102,0.8110567,11.720688,1,0.8110567,0.0918102,11.720688,6,59713643048,50,0.0010218620300292969,0.0010218620300292969,1.3573229312896729
7,85,8.5,5,0,2.0720469083104813,11,13,11,14,10,13,12,14,9,12,10,12,9,11,11,14,0,0,0,0,0.22697948,1.0174226,7.868792,1,1.0174226,0.22697948,7.868792,7,59713643048,50,0.0009353160858154297,0.0009353160858154297,1.3916265964508057
8,147,14.7,5,0,2.0720469083104813,12,13,10,14,10,13,12,14,10,11,9,10,0,0,0,0,0,0,0,0,0.21786644,0.86185783,8.625354,1,0.86185783,0.21786644,8.625354,8,59713643048,50,0.0,0.0,0.005000591278076172
9,184,18.4,5,0,2.0720469083104813,10,14,12,13,9,13,11,14,10,12,0,0,0,0,0,0,0,0,0,0,0.21543856,0.984454,8.065192,1,0.984454,0.21543856,8.065192,9,59713643048,50,0.0,0.0,0.012988567352294922
10,199,19.9,5,0,2.0720469083104813,9,11,10,12,10,14,12,13,11,12,9,11,12,13,9,13,11,14,0,0,0.19213165,0.7593697,11.872007,1,0.7593697,0.19213165,11.872007,10,59713643048,50,0.0010149478912353516,0.0010149478912353516,0.016002416610717773
11,17,1.7,5,0,2.0720469083104813,10,12,10,11,11,13,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0.3267951,0.8724265,2.8249414,1,0.8724265,0.3267951,2.8249414,11,59713643048,50,0.0010135173797607422,0.0010135173797607422,0.013999700546264648
12,85,8.5,5,1,2.0720469083104813,9,11,10,13,10,13,12,14,9,11,10,12,9,11,11,13,0,0,0,0,0.24769945,0.96093297,7.3618007,1,0.96093297,0.24769945,7.3618007,12,59713643048,50,0.0010018348693847656,0.0010018348693847656,0.012001991271972656
13,85,8.5,5,1,2.0720469083104813,11,13,10,13,11,12,9,11,11,13,9,12,9,10,0,0,0,0,0,0,0.14634128,0.7574588,7.4301977,1,0.7574588,0.14634128,7.4301977,13,59713643048,50,0.0,0.0,0.011504650115966797
14,81,8.1,5,1,2.0720469083104813,9,10,9,12,9,10,11,13,11,14,11,14,9,12,10,13,11,13,0,0,0.124998,0.828289,8.997701,1,0.828289,0.124998,8.997701,14,59713643048,50,0.0,0.0,0.00699925422668457
15,195,19.5,5,1,2.0720469083104813,11,14,11,14,10,13,9,13,9,11,12,14,9,10,11,14,0,0,0,0,0.1434672,0.9601359,10.587167,1,0.9601359,0.1434672,10.587167,15,59713643048,50,0.0009958744049072266,0.0009958744049072266,0.009004354476928711
16,193,19.3,5,1,2.0720469083104813,9,10,11,14,9,10,9,12,11,13,11,14,10,12,12,14,12,14,0,0,0.06312518,0.79961354,11.276399,1,0.79961354,0.06312518,11.276399,16,59713643048,50,0.0020029544830322266,0.0020029544830322266,0.014002084732055664
17,81,8.1,5,1,2.0720469083104813,9,12,9,12,12,14,12,14,11,14,11,12,9,13,12,14,0,0,0,0,0.28199404,1.0533034,7.872536,1,1.0533034,0.28199404,7.872536,17,59713643048,50,0.0019903182983398438,0.0019903182983398438,0.015019655227661133
18,184,18.4,5,1,2.0720469083104813,10,14,12,13,9,13,9,11,11,14,0,0,0,0,0,0,0,0,0,0,0.1792037,0.9730546,7.957477,1,0.9730546,0.1792037,7.957477,18,59713643048,50,0.00099945068359375,0.00099945068359375,0.014981269836425781
19,139,13.9,5,1,2.0720469083104813,12,14,12,14,9,12,9,10,11,13,11,14,11,14,10,12,0,0,0,0,0.13728876,0.9466241,9.161101,1,0.9466241,0.13728876,9.161101,19,59713643048,50,0.001016378402709961,0.001016378402709961,0.006997823715209961
20,193,19.3,5,1,2.0720469083104813,9,12,9,12,9,12,12,14,11,13,11,14,12,14,10,13,12,14,0,0,0.14868529,0.7932231,12.263601,1,0.7932231,0.14868529,12.263601,20,59713643048,50,0.0,0.0,0.00799870491027832
21,81,8.1,5,1,2.0720469083104813,9,10,12,14,9,11,12,14,9,10,12,14,12,13,0,0,0,0,0,0,0.3062567,0.7631287,6.8103395,1,0.7631287,0.3062567,6.8103395,21,59713643048,50,0.003019094467163086,0.003019094467163086,0.015559911727905273
22,85,8.5,5,1,2.0720469083104813,11,13,10,13,10,11,10,11,9,10,12,13,10,11,10,13,10,11,0,0,0.07361643,0.9385559,8.8675165,1,0.9385559,0.07361643,8.8675165,22,59713643048,50,0.001008749008178711,0.001008749008178711,0.010008096694946289
23,42,4.2,5,1,2.0720469083104813,9,10,10,14,9,10,12,13,10,11,9,11,9,10,0,0,0,0,0,0,0.31981015,0.78693604,5.295082,1,0.78693604,0.31981015,5.295082,23,59713643048,50,0.0010004043579101562,0.0010004043579101562,0.01100301742553711
24,81,8.1,5,2,2.0720469083104813,9,12,11,14,9,12,11,14,11,12,10,14,11,14,10,13,12,14,0,0,0.17738973,0.9689575,9.483061,1,0.9689575,0.17738973,9.483061,24,59713643048,50,0.0009951591491699219,0.0009951591491699219,0.01499485969543457
25,192,19.2,5,2,2.0720469083104813,9,12,9,11,12,14,9,10,12,14,0,0,0,0,0,0,0,0,0,0,0.16822551,0.8218348,7.828744,1,0.8218348,0.16822551,7.828744,25,59713643048,50,0.0,0.0,0.009993314743041992
26,85,8.5,5,2,2.0720469083104813,11,13,10,13,11,12,9,11,9,12,9,10,0,0,0,0,0,0,0,0,0.21046667,0.8207094,6.9678755,1,0.8207094,0.21046667,6.9678755,26,59713643048,50,0.0010075569152832031,0.0010075569152832031,0.013992071151733398
27,53,5.3,5,2,2.0720469083104813,11,13,10,13,10,11,10,11,9,10,12,14,9,12,10,11,0,0,0,0,0.33748215,1.0349547,5.8738647,1,1.0349547,0.33748215,5.8738647,27,59713643048,50,0.0,0.0,0.010998725891113281
28,85,8.5,5,2,2.0720469083104813,10,13,9,12,10,11,11,12,9,11,11,13,10,11,10,13,10,11,0,0,0.058005095,0.86546415,9.220915,1,0.86546415,0.058005095,9.220915,28,59713643048,50,0.0,0.0,0.011518716812133789
29,80,8.0,5,2,2.0720469083104813,10,13,9,10,11,13,9,13,11,14,9,12,10,13,10,12,0,0,0,0,0.1595154,0.8936998,7.699207,1,0.8936998,0.1595154,7.699207,29,59713643048,50,0.0,0.0,0.010993480682373047
