10 0 10 4 9 1 10 0 11 1 10 2 10 1 9 1 9 0 10 4 125 
9 1 10 3 9 1 11 0 11 4 10 2 10 1 9 1 9 0 9 4 102 
10 0 10 4 9 1 9 0 11 1 10 1 10 1 9 1 11 3 11 2 125 
10 1 11 3 11 1 10 0 11 0 10 0 9 0 9 0 11 0 9 0 17 
9 0 11 3 10 1 9 0 11 1 10 0 9 0 9 0 11 0 11 0 21 
9 1 10 3 9 1 11 0 11 4 10 2 10 1 9 1 9 0 9 4 102 
11 0 9 4 10 1 11 1 10 0 10 1 9 1 9 1 9 4 11 2 102 
9 1 9 3 9 1 9 0 11 1 10 0 10 1 9 1 11 0 9 0 123 
9 1 9 3 10 1 10 0 11 4 10 2 10 1 9 0 9 0 9 0 14 
9 0 10 3 10 1 10 0 11 1 10 0 9 0 9 0 11 0 11 0 104 
9 0 10 3 10 1 10 0 11 1 10 0 9 0 9 0 11 0 11 0 104 
10 0 10 4 9 1 10 0 11 1 10 2 10 1 9 1 9 0 10 4 125 
