,robot_speed,robot_speed_kmh,simulation_duration,generation,test_loss,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,delivery_rate,utilization_rate,num_risks,simulations,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,sequential_execution_time,execution_time
0,37,3.7,5,0,2.169967821240425,10,13,9,11,10,12,9,13,11,14,9,13,12,14,11,13,11,14,0,0,0.012525916,0.82277024,7.445159,1,0.82277024,0.012525916,7.445159,0,59713643048,50,0.0,0.0,2.1923179626464844
1,114,11.4,5,0,2.169967821240425,12,13,12,13,12,13,12,13,11,14,11,13,10,11,11,14,9,13,12,13,0.28255898,0.9181068,11.110896,1,0.9181068,0.28255898,11.110896,1,59713643048,50,0.0009996891021728516,0.0009996891021728516,1.3623497486114502
2,41,4.1,5,0,2.169967821240425,10,14,10,13,10,14,11,13,11,12,0,0,0,0,0,0,0,0,0,0,0.17392421,0.8360052,5.5097113,1,0.8360052,0.17392421,5.5097113,2,59713643048,50,0.0009999275207519531,0.0009999275207519531,1.351907730102539
3,36,3.6,5,0,2.169967821240425,11,12,9,12,12,13,10,13,9,10,9,11,12,13,12,14,11,13,9,12,0.15742356,0.87909913,7.414316,1,0.87909913,0.15742356,7.414316,3,59713643048,50,0.0010209083557128906,0.0010209083557128906,1.3515605926513672
4,23,2.3,5,0,2.169967821240425,9,11,12,14,11,14,10,11,11,13,11,13,10,12,0,0,0,0,0,0,0.13719213,0.7821913,6.0672274,1,0.7821913,0.13719213,6.0672274,4,59713643048,50,0.0015017986297607422,0.0015017986297607422,1.3825304508209229
5,188,18.8,5,0,2.169967821240425,10,12,12,14,10,13,12,14,12,13,11,14,12,14,9,10,0,0,0,0,0.23421565,0.87118614,10.328014,1,0.87118614,0.23421565,10.328014,5,59713643048,50,0.0010216236114501953,0.0010216236114501953,1.3935072422027588
6,19,1.9,5,0,2.169967821240425,10,14,11,12,10,14,10,14,10,12,11,14,9,11,0,0,0,0,0,0,0.17279667,0.902954,5.7006416,1,0.902954,0.17279667,5.7006416,6,59713643048,50,0.0009996891021728516,0.0009996891021728516,1.3691632747650146
7,85,8.5,5,0,2.169967821240425,12,14,11,14,11,14,11,14,12,14,9,11,9,11,11,12,0,0,0,0,0.21377087,0.7700465,7.550318,1,0.7700465,0.21377087,7.550318,7,59713643048,50,0.0009996891021728516,0.0009996891021728516,1.356428623199463
8,50,5.0,5,0,2.169967821240425,11,14,9,12,11,14,9,11,10,12,12,14,11,14,0,0,0,0,0,0,0.15895629,0.9111676,7.0356035,1,0.9111676,0.15895629,7.0356035,8,59713643048,50,0.0,0.0,0.006011962890625
9,88,8.8,5,0,2.169967821240425,9,13,9,13,12,14,12,14,12,14,9,13,11,14,9,13,0,0,0,0,0.2794798,0.7233478,9.434293,1,0.7233478,0.2794798,9.434293,9,59713643048,50,0.0,0.0,0.010009050369262695
10,18,1.8,5,0,2.169967821240425,12,14,9,11,10,11,10,14,12,14,9,12,10,11,12,13,0,0,0,0,0.1256772,0.60617733,5.09174,1,0.60617733,0.1256772,5.09174,10,59713643048,50,0.0009992122650146484,0.0009992122650146484,0.004999876022338867
11,93,9.3,5,0,2.169967821240425,9,10,12,14,9,13,10,11,10,11,0,0,0,0,0,0,0,0,0,0,0.13999271,0.7043067,6.209922,1,0.7043067,0.13999271,6.209922,11,59713643048,50,0.0009915828704833984,0.0009915828704833984,0.010990142822265625
12,114,11.4,5,1,2.169967821240425,12,13,11,12,11,12,12,13,11,13,11,13,10,11,9,13,9,13,9,10,0.23255199,0.8927307,10.748556,1,0.8927307,0.23255199,10.748556,12,59713643048,50,0.0009996891021728516,0.0009996891021728516,0.01499319076538086
13,19,1.9,5,1,2.169967821240425,10,14,11,12,9,12,10,14,9,11,10,14,11,13,0,0,0,0,0,0,0.12989426,0.86087537,5.676461,1,0.86087537,0.12989426,5.676461,13,59713643048,50,0.0010027885437011719,0.0010027885437011719,0.017012596130371094
14,35,3.5,5,1,2.169967821240425,10,14,11,12,10,14,10,14,10,12,10,12,12,13,9,10,0,0,0,0,0.11080128,0.7350297,6.0068054,1,0.7350297,0.11080128,6.0068054,14,59713643048,50,0.0,0.0,0.009102582931518555
15,19,1.9,5,1,2.169967821240425,10,11,9,12,12,13,10,13,9,10,9,11,12,14,9,12,0,0,0,0,0.06813091,0.54658437,5.464205,1,0.54658437,0.06813091,5.464205,15,59713643048,50,0.0009999275207519531,0.0009999275207519531,0.011995553970336914
16,18,1.8,5,1,2.169967821240425,10,13,11,12,9,13,11,14,9,13,12,14,11,13,11,14,9,10,0,0,0.16131234,0.96215117,6.7626915,1,0.96215117,0.16131234,6.7626915,16,59713643048,50,0.0010094642639160156,0.0010094642639160156,0.004007816314697266
17,37,3.7,5,1,2.169967821240425,10,14,11,13,10,14,9,13,10,12,11,14,0,0,0,0,0,0,0,0,0.33759236,0.98061574,5.569762,1,0.98061574,0.33759236,5.569762,17,59713643048,50,0.0,0.0,0.010989904403686523
