,robot_speed,robot_speed_kmh,simulation_duration,generation,test_loss,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,delivery_rate,utilization_rate,num_risks,simulations,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,sequential_execution_time,execution_time
0,21,2.1,5,0,0.7036650088748762,9,10,12,14,11,14,12,14,9,12,10,14,0,0,0,0,0,0,0,0,0.27135956,0.80358815,5.250504,1,0.80358815,0.27135956,5.250504,0,59713643048,50,0.0,0.0,0.002012491226196289
1,159,15.9,5,0,0.7036650088748762,10,12,10,11,12,14,9,13,11,13,11,14,9,11,11,14,0,0,0,0,0.21813716,0.97652274,9.699587,1,0.97652274,0.21813716,9.699587,1,59713643048,50,0.0010025501251220703,0.0010025501251220703,0.0009887218475341797
2,91,9.1,5,0,0.7036650088748762,9,13,11,12,9,11,11,14,12,13,12,14,10,14,9,11,0,0,0,0,0.23602308,0.8292828,8.978157,1,0.8292828,0.23602308,8.978157,2,59713643048,50,0.0009999275207519531,0.0009999275207519531,0.0009987354278564453
3,184,18.4,5,0,0.7036650088748762,10,11,12,14,11,14,12,14,12,14,12,14,10,12,9,12,12,14,0,0,0.28430903,0.9597296,11.759041,1,0.9597296,0.28430903,11.759041,3,59713643048,50,0.0010006427764892578,0.0010006427764892578,0.001993894577026367
4,114,11.4,5,0,0.7036650088748762,12,13,11,12,9,12,10,13,11,12,10,12,11,14,9,11,11,13,0,0,0.13492455,0.8901414,9.690613,1,0.8901414,0.13492455,9.690613,4,59713643048,50,0.0010097026824951172,0.0010097026824951172,0.003510713577270508
5,98,9.8,5,0,0.7036650088748762,11,14,11,14,10,13,9,11,9,10,10,13,10,14,11,13,0,0,0,0,0.16158213,1.038526,8.270416,1,1.038526,0.16158213,8.270416,5,59713643048,50,0.0010008811950683594,0.0010008811950683594,0.0019919872283935547
6,155,15.5,5,0,0.7036650088748762,10,12,9,13,12,14,10,13,12,14,10,13,0,0,0,0,0,0,0,0,0.41745389,0.82452863,8.538204,1,0.82452863,0.41745389,8.538204,6,59713643048,50,0.0009999275207519531,0.0009999275207519531,0.0010004043579101562
7,44,4.4,5,0,0.7036650088748762,12,14,9,12,10,13,10,14,12,13,0,0,0,0,0,0,0,0,0,0,0.119165555,0.9034173,4.831932,1,0.9034173,0.119165555,4.831932,7,59713643048,50,0.0010211467742919922,0.0010211467742919922,0.0009996891021728516
8,180,18.0,5,0,0.7036650088748762,10,12,11,12,12,14,11,13,11,14,10,14,9,13,9,10,0,0,0,0,0.24607576,1.0212567,10.365536,1,1.0212567,0.24607576,10.365536,8,59713643048,50,0.00099945068359375,0.00099945068359375,0.004998207092285156
9,158,15.8,5,0,0.7036650088748762,11,14,10,13,12,14,11,12,10,13,10,11,10,13,10,12,10,13,0,0,0.25975382,0.93555754,10.738047,1,0.93555754,0.25975382,10.738047,9,59713643048,50,0.0,0.0,0.00500035285949707
