,robot_speed,robot_speed_kmh,simulation_duration,generation,test_loss,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,delivery_rate,utilization_rate,num_risks,simulations,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,sequential_execution_time,execution_time
0,163,16.3,5,0,2.3335128507443836,12,14,12,14,11,12,9,10,12,14,11,14,9,10,0,0,0,0,0,0,0.23089702,0.77770734,9.085898,1,0.77770734,0.23089702,9.085898,0,59713643048,50,0.0,0.0,2.182410717010498
1,199,19.9,5,0,2.3335128507443836,12,14,12,14,11,14,11,12,12,13,12,14,9,10,0,0,0,0,0,0,0.30283564,0.8176507,10.131761,1,0.8176507,0.30283564,10.131761,1,59713643048,50,0.00098419189453125,0.00098419189453125,1.3882479667663574
2,42,4.2,5,0,2.3335128507443836,9,13,9,13,9,10,10,13,12,14,10,14,0,0,0,0,0,0,0,0,0.26181185,0.7980488,5.948904,1,0.7980488,0.26181185,5.948904,2,59713643048,50,0.0010001659393310547,0.0010001659393310547,1.4270188808441162
3,151,15.1,5,0,2.3335128507443836,10,14,12,13,10,12,12,14,9,13,11,13,11,13,11,14,10,14,0,0,0.31426746,0.62147224,11.617378,1,0.62147224,0.31426746,11.617378,3,59713643048,50,0.0,0.0,1.3741612434387207
4,128,12.8,5,0,2.3335128507443836,11,12,9,10,10,13,12,13,12,14,11,14,10,11,0,0,0,0,0,0,0.2513308,0.74047,8.592472,1,0.74047,0.2513308,8.592472,4,59713643048,50,0.0,0.0,1.3950011730194092
5,45,4.5,5,0,2.3335128507443836,11,13,10,13,10,14,10,14,12,14,11,14,0,0,0,0,0,0,0,0,0.28061283,1.0363294,5.9007974,1,1.0363294,0.28061283,5.9007974,5,59713643048,50,0.0,0.0,1.4157283306121826
6,188,18.8,5,0,2.3335128507443836,12,14,11,14,10,13,9,13,11,14,10,11,12,14,11,12,10,11,0,0,0.31830198,0.81025517,11.499354,1,0.81025517,0.31830198,11.499354,6,59713643048,50,0.0009951591491699219,0.0009951591491699219,1.3924438953399658
7,93,9.3,5,0,2.3335128507443836,11,14,9,12,10,14,12,14,9,11,9,11,10,12,12,14,0,0,0,0,0.19651325,0.84093535,8.061074,1,0.84093535,0.19651325,8.061074,7,59713643048,50,0.0009999275207519531,0.0009999275207519531,1.3835341930389404
8,160,16.0,5,0,2.3335128507443836,9,11,11,12,11,13,11,12,10,12,11,13,12,14,10,13,12,14,0,0,0.24772485,0.72197473,11.184645,1,0.72197473,0.24772485,11.184645,8,59713643048,50,0.0010020732879638672,0.0010020732879638672,0.004003763198852539
9,132,13.2,5,0,2.3335128507443836,10,11,9,12,10,11,10,14,11,13,11,14,0,0,0,0,0,0,0,0,0.24746795,0.7292477,8.182502,1,0.7292477,0.24746795,8.182502,9,59713643048,50,0.001998424530029297,0.001998424530029297,0.009998321533203125
