,robot_speed,robot_speed_kmh,simulation_duration,generation,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,num_risks,num_delivered,utilization_rate,delivery_rate,simulations,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,sequential_execution_time,execution_time
0,100,10.0,5,0,9,12,10,14,10,11,9,12,9,12,11,12,11,14,11,14,0,0,0,0,17.0,18.6,0.9688368055555554,0.372,1,18.6,0.9688368055555554,0.372,17.0,0,59713643048,50,272.4354214668274,272.4354214668274,0.0012557506561279297
1,23,2.3,5,0,12,13,12,14,9,11,10,14,10,11,11,14,10,11,10,14,9,12,0,0,6.8,11.0,0.9540457818930039,0.22,1,11.0,0.9540457818930039,0.22,6.8,1,59713643048,50,400.7651481628418,400.7651481628418,0.0009586811065673828
2,99,9.9,5,0,10,13,11,13,11,13,9,11,10,14,9,12,0,0,0,0,0,0,0,0,11.6,14.4,0.9637229938271604,0.288,1,14.4,0.9637229938271604,0.288,11.6,2,59713643048,50,246.12032294273376,246.12032294273376,0.000919342041015625
3,41,4.1,5,0,9,11,12,14,12,14,10,13,12,14,11,14,10,14,12,14,0,0,0,0,10.8,13.6,0.9512731481481481,0.272,1,13.6,0.9512731481481481,0.272,10.8,3,59713643048,50,336.758784532547,336.758784532547,0.0009582042694091797
4,100,10.0,5,0,12,14,9,10,10,12,9,12,9,12,10,14,10,13,9,10,0,0,0,0,12.6,16.8,0.9380324074074073,0.336,1,16.8,0.9380324074074073,0.336,12.6,4,59713643048,50,336.18751764297485,336.18751764297485,0.0009293556213378906
5,175,17.5,5,0,11,14,9,13,11,14,10,11,11,13,10,12,9,11,10,12,10,12,12,14,18.2,23.0,0.957023148148148,0.46,1,23.0,0.957023148148148,0.46,18.2,5,59713643048,50,277.0177369117737,277.0177369117737,0.0009329319000244141
6,195,19.5,5,0,12,14,9,12,12,13,11,13,12,14,12,13,10,11,9,10,11,14,0,0,12.0,16.0,0.9536059670781891,0.32,1,16.0,0.9536059670781891,0.32,12.0,6,59713643048,50,275.91841101646423,275.91841101646423,0.0009238719940185547
7,169,16.9,5,0,11,13,10,12,12,14,10,12,12,14,0,0,0,0,0,0,0,0,0,0,7.6,10.0,0.9768888888888888,0.2,1,10.0,0.9768888888888888,0.2,7.6,7,59713643048,50,132.39558744430542,132.39558744430542,0.0009133815765380859
8,34,3.4,5,0,12,13,12,14,12,14,10,13,11,12,12,14,9,11,9,13,9,12,0,0,10.6,12.6,0.9566383744855967,0.252,1,12.6,0.9566383744855967,0.252,10.6,8,59713643048,50,333.61183524131775,333.61183524131775,0.0009350776672363281
9,175,17.5,5,0,10,14,11,13,10,11,12,14,12,14,9,12,0,0,0,0,0,0,0,0,13.0,14.0,0.9682330246913579,0.28,1,14.0,0.9682330246913579,0.28,13.0,9,59713643048,50,166.5208294391632,166.5208294391632,0.0009300708770751953
