,robot_speed,robot_speed_kmh,simulation_duration,generation,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,num_risks,num_delivered,utilization_rate,delivery_rate,simulations,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,sequential_execution_time,execution_time
0,194,19.4,5,0,10,14,9,11,9,12,10,12,9,10,11,14,11,14,10,12,0,0,0,0,20.4,20.0,0.9594502314814815,0.4,1,20.0,0.9594502314814815,0.4,20.4,0,59713643048,50,108.75794792175293,108.75794792175293,110.36121273040771
1,86,8.6,5,0,10,11,12,13,11,12,9,12,11,12,9,13,10,14,10,11,12,14,0,0,12.2,15.4,0.9429552469135801,0.308,1,15.4,0.9429552469135801,0.308,12.2,1,59713643048,50,126.46226739883423,126.46226739883423,127.75501036643982
2,167,16.7,5,0,10,12,11,13,12,14,11,14,9,10,11,13,10,12,9,13,0,0,0,0,12.8,18.0,0.9701186342592591,0.36,1,18.0,0.9701186342592591,0.36,12.8,2,59713643048,50,89.08260083198547,89.08260083198547,90.7586236000061
3,58,5.8,5,0,12,13,10,11,10,11,12,13,10,12,10,14,12,13,11,14,0,0,0,0,7.0,10.8,0.9455931712962962,0.216,1,10.8,0.9455931712962962,0.216,7.0,3,59713643048,50,110.80917549133301,110.80917549133301,110.812570810318
4,84,8.4,5,0,11,13,12,13,12,14,11,13,10,11,11,14,10,13,0,0,0,0,0,0,11.4,12.4,0.9717328042328041,0.248,1,12.4,0.9717328042328041,0.248,11.4,4,59713643048,50,83.794504404068,83.794504404068,83.79777884483337
5,19,1.9,5,0,12,14,9,11,12,14,10,13,9,13,10,11,9,13,0,0,0,0,0,0,6.0,9.2,0.9743584656084655,0.184,1,9.2,0.9743584656084655,0.184,6.0,5,59713643048,50,103.18832063674927,103.18832063674927,103.19139981269836
6,57,5.7,5,0,9,11,11,13,10,11,9,11,10,14,11,13,9,13,0,0,0,0,0,0,10.6,13.2,0.9730853174603172,0.264,1,13.2,0.9730853174603172,0.264,10.6,6,59713643048,50,110.07631421089172,110.07631421089172,111.80016827583313
7,49,4.9,5,0,10,14,11,14,11,12,9,13,10,12,12,14,9,10,11,14,9,13,0,0,13.6,18.0,0.9668029835390946,0.36,1,18.0,0.9668029835390946,0.36,13.6,7,59713643048,50,132.0415961742401,132.0415961742401,132.0454204082489
8,84,8.4,5,0,9,11,12,14,11,12,11,14,12,13,9,10,11,12,10,11,0,0,0,0,7.0,10.0,0.9319444444444442,0.2,1,10.0,0.9319444444444442,0.2,7.0,8,59713643048,50,130.36955165863037,130.36955165863037,130.37343645095825
9,171,17.1,5,0,9,11,9,12,11,14,10,11,11,14,12,14,11,13,12,14,0,0,0,0,14.0,18.0,0.9715451388888889,0.36,1,18.0,0.9715451388888889,0.36,14.0,9,59713643048,50,90.36745285987854,90.36745285987854,90.37087297439575
