,robot_speed,robot_speed_kmh,simulation_duration,generation,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,num_risks,num_delivered,utilization_rate,delivery_rate,simulations,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,sequential_execution_time,execution_time
0,138,13.8,5,0,10,13,10,11,10,14,11,12,11,14,10,12,11,12,10,14,12,13,9,12,21.0,22.4,0.9718472222222221,0.448,1,22.4,0.9718472222222221,0.448,21.0,0,59713643048,50,251.4301519393921,251.4301519393921,254.00322556495667
1,64,6.4,5,0,9,10,10,11,12,14,12,14,12,14,9,10,9,11,0,0,0,0,0,0,6.4,9.0,0.957222222222222,0.18,1,9.0,0.957222222222222,0.18,6.4,1,59713643048,50,235.0504026412964,235.0504026412964,238.99799513816833
2,163,16.3,5,0,9,12,11,12,10,11,12,14,12,13,9,13,0,0,0,0,0,0,0,0,8.6,11.8,0.9603125,0.236,1,11.8,0.9603125,0.236,8.6,2,59713643048,50,179.51206827163696,179.51206827163696,179.51978516578674
3,15,1.5,5,0,10,11,9,11,11,14,11,14,9,12,9,12,10,13,12,14,10,14,12,14,11.4,11.6,0.9552384259259259,0.232,1,11.6,0.9552384259259259,0.232,11.4,3,59713643048,50,433.27903389930725,433.27903389930725,433.28645396232605
4,149,14.9,5,0,9,10,11,12,10,11,10,13,12,14,12,14,10,14,11,13,0,0,0,0,13.0,15.6,0.9714641203703702,0.312,1,15.6,0.9714641203703702,0.312,13.0,4,59713643048,50,225.22502517700195,225.22502517700195,225.31948733329773
5,42,4.2,5,0,11,14,9,12,11,13,11,12,12,13,11,12,12,14,9,11,12,14,9,10,8.8,13.0,0.9501111111111109,0.26,1,13.0,0.9501111111111109,0.26,8.8,5,59713643048,50,337.77788066864014,337.77788066864014,341.6067659854889
6,75,7.5,5,0,10,11,9,10,9,12,11,12,9,10,10,12,12,14,11,12,10,12,0,0,8.6,11.8,0.9392901234567899,0.236,1,11.8,0.9392901234567899,0.236,8.6,6,59713643048,50,290.7055106163025,290.7055106163025,290.8041408061981
7,21,2.1,5,0,10,11,10,13,11,14,12,14,11,13,10,11,11,12,11,13,0,0,0,0,5.2,7.2,0.911591435185185,0.144,1,7.2,0.911591435185185,0.144,5.2,7,59713643048,50,387.57666063308716,387.57666063308716,391.6758482456207
8,40,4.0,5,0,9,10,10,11,9,11,10,14,9,12,11,12,11,14,11,12,0,0,0,0,8.8,10.2,0.9181770833333331,0.204,1,10.2,0.9181770833333331,0.204,8.8,8,59713643048,50,370.746000289917,370.746000289917,370.8634178638458
9,37,3.7,5,0,12,13,9,11,9,11,11,12,11,12,12,14,9,10,0,0,0,0,0,0,3.6,6.6,0.9505357142857143,0.132,1,6.6,0.9505357142857143,0.132,3.6,9,59713643048,50,258.42483615875244,258.42483615875244,258.5200574398041
10,22,2.2,5,0,10,12,10,12,10,12,11,14,9,11,10,14,9,12,11,13,0,0,0,0,6.2,10.0,0.9565364583333333,0.2,1,10.0,0.9565364583333333,0.2,6.2,10,59713643048,50,355.8674306869507,355.8674306869507,359.5102140903473
11,130,13.0,5,0,11,14,11,13,10,13,11,14,11,12,10,14,12,14,0,0,0,0,0,0,13.2,17.0,0.9518253968253968,0.34,1,17.0,0.9518253968253968,0.34,13.2,11,59713643048,50,235.90176129341125,235.90176129341125,236.01886224746704
12,75,7.5,5,1,10,13,10,11,9,13,11,12,11,14,10,12,10,13,12,13,9,12,0,0,14.6,17.6,0.947147633744856,0.352,1,17.6,0.947147633744856,0.352,14.6,12,59713643048,50,326.09607553482056,326.09607553482056,330.4717049598694
13,137,13.7,5,1,10,11,9,10,9,12,11,12,9,10,10,12,12,14,10,12,0,0,0,0,8.2,12.2,0.9507638888888887,0.244,1,12.2,0.9507638888888887,0.244,8.2,13,59713643048,50,268.57464933395386,268.57464933395386,272.5170533657074
14,20,2.0,5,1,10,14,9,12,11,13,11,12,11,12,11,13,9,11,11,12,0,0,0,0,6.8,7.4,0.9457465277777777,0.148,1,7.4,0.9457465277777777,0.148,6.8,14,59713643048,50,331.67050433158875,331.67050433158875,331.6780867576599
15,42,4.2,5,1,10,11,10,13,11,14,12,14,11,13,10,11,10,12,9,10,0,0,0,0,7.0,10.2,0.9555497685185184,0.204,1,10.2,0.9555497685185184,0.204,7.0,15,59713643048,50,297.1193149089813,297.1193149089813,297.2054307460785
16,45,4.5,5,1,12,13,9,11,9,11,11,12,11,12,12,14,9,10,0,0,0,0,0,0,5.2,7.0,0.923392857142857,0.14,1,7.0,0.923392857142857,0.14,5.2,16,59713643048,50,290.14043283462524,290.14043283462524,293.9496793746948
17,37,3.7,5,1,12,13,9,11,9,11,11,12,11,12,12,14,9,10,0,0,0,0,0,0,3.6,6.6,0.9505357142857143,0.132,1,6.6,0.9505357142857143,0.132,3.6,9,59713643048,50,258.42483615875244,258.42483615875244,0.002414703369140625
18,138,13.8,5,1,10,11,10,12,11,12,11,14,9,11,11,14,10,13,12,13,9,11,0,0,15.4,17.6,0.966656378600823,0.352,1,17.6,0.966656378600823,0.352,15.4,17,59713643048,50,214.18198919296265,214.18198919296265,214.1899709701538
19,37,3.7,5,1,10,13,10,13,10,12,11,14,9,11,10,11,9,12,11,12,0,0,0,0,10.0,11.6,0.9470601851851852,0.232,1,11.6,0.9470601851851852,0.232,10.0,18,59713643048,50,320.49990344047546,320.49990344047546,320.50905418395996
20,75,7.5,5,1,10,11,9,10,9,12,11,12,9,10,9,11,9,12,11,12,0,0,0,0,8.2,10.4,0.9258275462962962,0.208,1,10.4,0.9258275462962962,0.208,8.2,19,59713643048,50,336.02961802482605,336.02961802482605,336.1260483264923
21,22,2.2,5,1,10,12,10,12,10,11,11,14,9,11,10,14,11,14,11,12,9,11,0,0,5.6,10.2,0.9255246913580246,0.204,1,10.2,0.9255246913580246,0.204,5.6,20,59713643048,50,450.0707530975342,450.0707530975342,450.16133165359497
22,131,13.1,5,1,10,11,10,11,11,14,12,14,12,13,10,11,9,11,0,0,0,0,0,0,6.8,10.6,0.9620238095238093,0.212,1,10.6,0.9620238095238093,0.212,6.8,21,59713643048,50,200.8555519580841,200.8555519580841,200.9486243724823
23,70,7.0,5,1,10,12,9,10,10,14,9,12,10,12,11,12,9,13,12,13,9,12,0,0,18.8,17.6,0.972579732510288,0.352,1,17.6,0.972579732510288,0.352,18.8,22,59713643048,50,272.2691400051117,272.2691400051117,275.96992802619934
24,21,2.1,5,2,9,10,10,13,10,12,9,11,11,12,11,12,10,12,11,12,11,12,0,0,3.4,7.0,0.9003446502057612,0.14,1,7.0,0.9003446502057612,0.14,3.4,23,59713643048,50,427.5258913040161,427.5258913040161,427.53422451019287
25,37,3.7,5,2,12,13,10,13,11,14,11,12,12,13,9,10,0,0,0,0,0,0,0,0,4.4,6.6,0.937114197530864,0.132,1,6.6,0.937114197530864,0.132,4.4,24,59713643048,50,241.849436044693,241.849436044693,241.97640419006348
26,37,3.7,5,2,12,13,9,11,9,11,11,12,11,12,12,14,9,10,0,0,0,0,0,0,3.6,6.6,0.9505357142857143,0.132,1,6.6,0.9505357142857143,0.132,3.6,9,59713643048,50,258.42483615875244,258.42483615875244,0.0029473304748535156
27,45,4.5,5,2,12,13,9,11,9,11,11,12,11,12,12,14,9,10,0,0,0,0,0,0,5.2,7.0,0.923392857142857,0.14,1,7.0,0.923392857142857,0.14,5.2,16,59713643048,50,290.14043283462524,290.14043283462524,0.0021293163299560547
28,22,2.2,5,2,10,12,10,12,10,12,11,14,9,11,10,14,9,12,11,13,0,0,0,0,6.2,10.0,0.9565364583333333,0.2,1,10.0,0.9565364583333333,0.2,6.2,10,59713643048,50,355.8674306869507,355.8674306869507,0.002079486846923828
29,37,3.7,5,2,12,13,9,11,9,11,11,12,11,12,12,14,9,10,0,0,0,0,0,0,3.6,6.6,0.9505357142857143,0.132,1,6.6,0.9505357142857143,0.132,3.6,9,59713643048,50,258.42483615875244,258.42483615875244,0.0020666122436523438
30,22,2.2,5,2,10,12,10,11,11,14,9,13,10,12,9,11,11,12,10,12,0,0,0,0,7.6,8.8,0.945251736111111,0.176,1,8.8,0.945251736111111,0.176,7.6,25,59713643048,50,336.3462471961975,336.3462471961975,340.4466669559479
31,21,2.1,5,2,10,11,10,13,10,11,11,14,12,13,11,14,11,12,11,12,9,11,0,0,6.8,7.4,0.9220370370370369,0.148,1,7.4,0.9220370370370369,0.148,6.8,26,59713643048,50,400.8796489238739,400.8796489238739,404.9931306838989
32,43,4.3,5,2,10,12,10,12,10,11,9,13,10,14,11,14,9,10,9,11,0,0,0,0,9.4,13.2,0.9483651620370369,0.264,1,13.2,0.9483651620370369,0.264,9.4,27,59713643048,50,327.66311168670654,327.66311168670654,327.7487668991089
33,23,2.3,5,2,12,13,9,11,10,12,11,13,11,12,11,14,10,11,0,0,0,0,0,0,3.6,6.6,0.9464417989417988,0.132,1,6.6,0.9464417989417988,0.132,3.6,28,59713643048,50,298.1397285461426,298.1397285461426,298.246723651886
34,22,2.2,5,2,10,12,10,11,11,14,10,12,10,14,11,14,10,11,9,10,0,0,0,0,4.2,8.2,0.9050665509259258,0.164,1,8.2,0.9050665509259258,0.164,4.2,29,59713643048,50,476.42369961738586,476.42369961738586,479.76405024528503
35,37,3.7,5,2,11,12,10,11,9,11,9,11,9,10,11,12,11,14,9,10,0,0,0,0,5.4,7.4,0.9208101851851851,0.148,1,7.4,0.9208101851851851,0.148,5.4,30,59713643048,50,359.31109046936035,359.31109046936035,359.401869058609
36,23,2.3,5,3,12,13,9,11,9,11,11,13,11,12,11,14,10,11,0,0,0,0,0,0,4.6,6.6,0.9464417989417988,0.132,1,6.6,0.9464417989417988,0.132,4.6,31,59713643048,50,304.2476110458374,304.2476110458374,304.35910654067993
37,37,3.7,5,3,12,13,9,11,10,12,11,12,11,12,12,14,9,10,0,0,0,0,0,0,4.6,6.6,0.9505357142857143,0.132,1,6.6,0.9505357142857143,0.132,4.6,32,59713643048,50,256.2772128582001,256.2772128582001,256.4247841835022
38,37,3.7,5,3,12,13,9,10,9,11,11,13,11,12,9,10,0,0,0,0,0,0,0,0,5.0,5.0,0.9240046296296294,0.1,1,5.0,0.9240046296296294,0.1,5.0,33,59713643048,50,267.97731375694275,267.97731375694275,271.30793809890747
