,robot_speed,robot_speed_kmh,simulation_duration,generation,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,num_risks,num_delivered,utilization_rate,delivery_rate,simulations,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,sequential_execution_time,execution_time
0,38,3.8,5,0,12,14,10,12,9,12,9,11,11,14,12,13,11,13,10,11,12,13,0,0,8.8,11.2,0.9559156378600824,0.224,1,11.2,0.9559156378600824,0.224,8.8,0.0,59713643048.0,50.0,295.2014784812927,295.2014784812927,0.0016107559204101562
1,76,7.6,5,0,9,10,10,12,9,10,9,12,10,11,9,13,11,14,10,12,12,14,9,12,13.2,18.8,0.9540324074074074,0.376,1,18.8,0.9540324074074074,0.376,13.2,1.0,59713643048.0,50.0,324.1026463508606,324.1026463508606,0.0009527206420898438
2,104,10.4,5,0,12,13,12,14,9,10,11,13,9,11,12,13,9,10,10,13,0,0,0,0,10.0,11.8,0.9700694444444442,0.236,1,11.8,0.9700694444444442,0.236,10.0,2.0,59713643048.0,50.0,227.71660685539246,227.71660685539246,0.0009229183197021484
3,167,16.7,5,0,12,13,10,14,9,10,12,14,12,14,12,14,9,13,11,14,0,0,0,0,13.4,19.0,0.9719386574074071,0.38,1,19.0,0.9719386574074071,0.38,13.4,3.0,59713643048.0,50.0,211.2938461303711,211.2938461303711,0.0009324550628662109
4,187,18.7,5,0,9,13,11,14,9,10,10,12,11,14,9,11,9,12,10,13,10,13,0,0,22.0,24.2,0.9668106995884772,0.484,1,24.2,0.9668106995884772,0.484,22.0,4.0,59713643048.0,50.0,255.13724422454834,255.13724422454834,0.0009250640869140625
5,92,9.2,5,0,10,13,10,14,10,11,9,13,9,12,12,14,10,11,11,14,9,11,0,0,16.4,20.6,0.9684053497942386,0.412,1,20.6,0.9684053497942386,0.412,16.4,5.0,59713643048.0,50.0,254.56955814361572,254.56955814361572,0.0009238719940185547
6,47,4.7,5,0,12,14,12,13,10,11,12,14,10,12,11,14,0,0,0,0,0,0,0,0,4.8,8.0,0.9606249999999997,0.16,1,8.0,0.9606249999999997,0.16,4.8,6.0,59713643048.0,50.0,220.7794795036316,220.7794795036316,0.0009090900421142578
7,40,4.0,5,0,11,12,10,13,12,14,9,13,10,12,10,11,9,12,12,13,0,0,0,0,9.4,11.2,0.9360358796296295,0.224,1,11.2,0.9360358796296295,0.224,9.4,7.0,59713643048.0,50.0,301.6029624938965,301.6029624938965,0.0009322166442871094
8,189,18.9,5,0,10,13,9,11,9,11,11,14,9,12,10,11,12,14,10,12,12,14,0,0,16.4,20.0,0.9623045267489712,0.4,1,20.0,0.9623045267489712,0.4,16.4,8.0,59713643048.0,50.0,247.45136761665344,247.45136761665344,0.0009191036224365234
9,150,15.0,5,0,9,11,11,14,12,13,9,13,12,14,10,12,0,0,0,0,0,0,0,0,11.4,13.6,0.9578279320987654,0.272,1,13.6,0.9578279320987654,0.272,11.4,9.0,59713643048.0,50.0,211.8444700241089,211.8444700241089,0.0009076595306396484
