,robot_speed,robot_speed_kmh,simulation_duration,generation,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,num_risks,num_delivered,utilization_rate,delivery_rate,simulations,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,sequential_execution_time,execution_time
0,163,16.3,5,0,12,14,12,14,11,12,9,10,12,14,11,14,9,10,0,0,0,0,0,0,7.8,12.0,0.9776785714285713,0.24,1,12.0,0.9776785714285713,0.24,7.8,0,59713643048,50,178.0557563304901,178.0557563304901,0.0015745162963867188
1,199,19.9,5,0,12,14,12,14,11,14,11,12,12,13,12,14,9,10,0,0,0,0,0,0,9.0,12.0,0.9467460317460316,0.24,1,12.0,0.9467460317460316,0.24,9.0,1,59713643048,50,223.31078100204468,223.31078100204468,0.000995635986328125
2,42,4.2,5,0,9,13,9,13,9,10,10,13,12,14,10,14,0,0,0,0,0,0,0,0,8.8,12.4,0.9705516975308642,0.248,1,12.4,0.9705516975308642,0.248,8.8,2,59713643048,50,269.0425705909729,269.0425705909729,0.0009076595306396484
3,151,15.1,5,0,10,14,12,13,10,12,12,14,9,13,11,13,11,13,11,14,10,14,0,0,20.0,23.8,0.9808976337448558,0.476,1,23.8,0.9808976337448558,0.476,20.0,3,59713643048,50,194.1219198703766,194.1219198703766,0.0009207725524902344
4,128,12.8,5,0,11,12,9,10,10,13,12,13,12,14,11,14,10,11,0,0,0,0,0,0,6.2,11.4,0.9508531746031743,0.228,1,11.4,0.9508531746031743,0.228,6.2,4,59713643048,50,227.22248196601868,227.22248196601868,0.0009024143218994141
5,45,4.5,5,0,11,13,10,13,10,14,10,14,12,14,11,14,0,0,0,0,0,0,0,0,9.6,13.0,0.9737037037037037,0.26,1,13.0,0.9737037037037037,0.26,9.6,5,59713643048,50,205.41051626205444,205.41051626205444,0.0009038448333740234
6,188,18.8,5,0,12,14,11,14,10,13,9,13,11,14,10,11,12,14,11,12,10,11,0,0,15.6,20.2,0.968125,0.404,1,20.2,0.968125,0.404,15.6,6,59713643048,50,219.30253553390503,219.30253553390503,0.0010876655578613281
7,93,9.3,5,0,11,14,9,12,10,14,12,14,9,11,9,11,10,12,12,14,0,0,0,0,12.4,17.4,0.9514641203703704,0.348,1,17.4,0.9514641203703704,0.348,12.4,7,59713643048,50,305.78547978401184,305.78547978401184,0.0009160041809082031
8,160,16.0,5,0,9,11,11,12,11,13,11,12,10,12,11,13,12,14,10,13,12,14,0,0,12.8,16.6,0.9584207818930042,0.332,1,16.6,0.9584207818930042,0.332,12.8,8,59713643048,50,247.4756579399109,247.4756579399109,0.0009322166442871094
9,132,13.2,5,0,10,11,9,12,10,11,10,14,11,13,11,14,0,0,0,0,0,0,0,0,12.4,13.0,0.930420524691358,0.26,1,13.0,0.930420524691358,0.26,12.4,9,59713643048,50,269.7701756954193,269.7701756954193,0.0008997917175292969
10,170,17.0,5,0,12,13,11,14,10,11,11,14,9,13,9,11,9,13,11,14,0,0,0,0,14.4,21.0,0.9716406249999998,0.42,1,21.0,0.9716406249999998,0.42,14.4,10,59713643048,50,204.34842348098755,204.34842348098755,0.0008988380432128906
11,121,12.1,5,0,9,10,12,14,10,11,12,14,10,12,9,13,10,14,10,14,11,14,0,0,21.0,21.6,0.9734773662551439,0.432,1,21.6,0.9734773662551439,0.432,21.0,11,59713643048,50,265.08273458480835,265.08273458480835,0.0009207725524902344
