,robot_speed,robot_speed_kmh,simulation_duration,generation,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,num_risks,num_delivered,utilization_rate,delivery_rate,simulations,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,sequential_execution_time,execution_time
0,81,8.1,5,0,12,14,10,12,12,14,12,13,12,14,12,14,10,13,12,14,9,10,0,0,10.8,14.8,0.9585185185185183,0.296,1,14.8,0.9585185185185183,0.296,10.8,0,59713643048,50,113.37841820716858,113.37841820716858,0.0004253387451171875
1,44,4.4,5,0,11,13,10,12,12,14,9,13,9,10,11,12,12,14,9,13,9,10,10,11,11.2,14.6,0.9629513888888888,0.292,1,14.6,0.9629513888888888,0.292,11.2,1,59713643048,50,131.8999137878418,131.8999137878418,0.00036406517028808594
2,111,11.1,5,0,11,13,11,13,12,14,9,13,10,14,9,12,10,12,10,14,0,0,0,0,16.8,21.0,0.9659230324074074,0.42,1,21.0,0.9659230324074074,0.42,16.8,2,59713643048,50,109.10406756401062,109.10406756401062,0.0003542900085449219
3,64,6.4,5,0,10,14,12,13,11,12,12,14,9,11,11,14,12,13,9,11,0,0,0,0,9.2,12.8,0.953857060185185,0.256,1,12.8,0.953857060185185,0.256,9.2,3,59713643048,50,107.52228903770447,107.52228903770447,0.0003590583801269531
4,18,1.8,5,0,10,13,9,13,9,11,9,12,10,12,12,13,11,14,10,14,12,14,0,0,8.2,11.6,0.941031378600823,0.232,1,11.6,0.941031378600823,0.232,8.2,4,59713643048,50,187.01402187347412,187.01402187347412,0.00035309791564941406
5,60,6.0,5,0,12,14,12,13,9,13,11,12,10,14,9,11,11,12,9,12,0,0,0,0,11.4,14.4,0.9444618055555554,0.288,1,14.4,0.9444618055555554,0.288,11.4,5,59713643048,50,122.2105004787445,122.2105004787445,0.0003514289855957031
6,133,13.3,5,0,12,14,10,11,10,12,12,14,12,14,11,14,9,11,11,14,0,0,0,0,14.6,16.2,0.9664409722222221,0.324,1,16.2,0.9664409722222221,0.324,14.6,6,59713643048,50,98.91788625717163,98.91788625717163,0.00034809112548828125
7,88,8.8,5,0,10,14,10,12,12,13,9,11,11,13,9,13,0,0,0,0,0,0,0,0,8.4,13.4,0.9784722222222221,0.268,1,13.4,0.9784722222222221,0.268,8.4,7,59713643048,50,83.98657035827637,83.98657035827637,0.00034332275390625
8,47,4.7,5,0,10,13,11,14,10,12,11,14,12,13,12,14,9,13,0,0,0,0,0,0,11.8,12.8,0.948449074074074,0.256,1,12.8,0.948449074074074,0.256,11.8,8,59713643048,50,110.04196119308472,110.04196119308472,0.00034356117248535156
9,100,10.0,5,0,10,12,12,14,10,12,11,14,9,10,10,12,0,0,0,0,0,0,0,0,8.4,10.8,0.9661342592592592,0.216,1,10.8,0.9661342592592592,0.216,8.4,9,59713643048,50,93.83799743652344,93.83799743652344,0.0003371238708496094
