robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,robot_speed_kmh,num_delivery_rate,utilization_rate,num_risk
9.0,11.0,11.0,12.0,9.0,11.0,9.0,11.0,9.0,12.0,12.0,14.0,9.0,13.0,10.0,14.0,0.0,0.0,0.0,0.0,2.6,0.22,0.9690075231481481,9.8
10.0,14.0,11.0,12.0,9.0,10.0,10.0,12.0,10.0,14.0,9.0,11.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6,0.3,0.9541865079365078,11.8
11.0,14.0,10.0,13.0,10.0,14.0,12.0,13.0,9.0,13.0,12.0,14.0,10.0,13.0,11.0,13.0,10.0,11.0,9.0,11.0,18.6,0.504,0.9591527777777775,18.8
10.0,11.0,11.0,12.0,12.0,14.0,10.0,13.0,11.0,12.0,10.0,14.0,9.0,13.0,10.0,11.0,9.0,10.0,0.0,0.0,18.0,0.36,0.9577983539094649,17.2
9.0,13.0,11.0,14.0,9.0,13.0,9.0,12.0,12.0,14.0,11.0,14.0,11.0,12.0,10.0,13.0,11.0,12.0,0.0,0.0,16.4,0.476,0.9663760288065844,17.4
10.0,14.0,12.0,13.0,11.0,12.0,12.0,14.0,9.0,11.0,11.0,14.0,12.0,13.0,9.0,11.0,0.0,0.0,0.0,0.0,6.4,0.256,0.953857060185185,9.2
10.0,14.0,11.0,13.0,11.0,12.0,12.0,13.0,9.0,11.0,10.0,13.0,12.0,13.0,9.0,11.0,0.0,0.0,0.0,0.0,6.3,0.248,0.9285966435185184,10.6
12.0,14.0,9.0,11.0,10.0,13.0,9.0,12.0,10.0,12.0,9.0,13.0,9.0,10.0,12.0,14.0,10.0,14.0,0.0,0.0,19.8,0.464,0.9578266460905349,22.0
10.0,14.0,12.0,13.0,10.0,12.0,12.0,14.0,9.0,13.0,11.0,13.0,11.0,13.0,9.0,13.0,10.0,14.0,0.0,0.0,15.1,0.496,0.9783024691358023,19.2
10.0,14.0,12.0,13.0,10.0,12.0,12.0,14.0,9.0,13.0,11.0,13.0,11.0,13.0,10.0,14.0,10.0,14.0,0.0,0.0,14.6,0.492,0.974344135802469,20.8
12.0,14.0,10.0,11.0,10.0,12.0,9.0,10.0,12.0,14.0,10.0,14.0,9.0,11.0,12.0,13.0,10.0,14.0,0.0,0.0,13.3,0.364,0.9611342592592591,14.2
9.0,11.0,10.0,12.0,10.0,14.0,12.0,13.0,11.0,12.0,9.0,11.0,12.0,13.0,9.0,13.0,11.0,14.0,0.0,0.0,19.9,0.404,0.9519830246913578,19.0
12.0,14.0,10.0,11.0,12.0,14.0,9.0,12.0,9.0,13.0,9.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,0.324,0.9614621913580246,13.4
9.0,10.0,11.0,14.0,11.0,13.0,10.0,11.0,9.0,10.0,10.0,13.0,10.0,13.0,9.0,10.0,0.0,0.0,0.0,0.0,19.9,0.3,0.9527256944444443,12.2
10.0,12.0,9.0,13.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.08,0.9216512345679013,3.2
12.0,13.0,9.0,12.0,12.0,14.0,10.0,12.0,10.0,11.0,12.0,14.0,12.0,14.0,10.0,11.0,11.0,14.0,0.0,0.0,19.6,0.34,0.9522273662551439,13.4
12.0,14.0,9.0,11.0,12.0,14.0,11.0,12.0,11.0,14.0,9.0,13.0,11.0,14.0,11.0,13.0,0.0,0.0,0.0,0.0,17.2,0.38,0.9731886574074073,14.6
10.0,11.0,9.0,12.0,9.0,13.0,9.0,12.0,10.0,11.0,9.0,13.0,9.0,12.0,9.0,13.0,9.0,11.0,0.0,0.0,13.1,0.48,0.9721270576131688,16.0
12.0,14.0,10.0,11.0,12.0,13.0,11.0,12.0,10.0,12.0,9.0,10.0,11.0,13.0,11.0,13.0,0.0,0.0,0.0,0.0,17.2,0.24,0.9747569444444442,11.6
11.0,14.0,9.0,11.0,10.0,11.0,9.0,10.0,11.0,14.0,10.0,11.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9,0.24,0.9504894179894178,10.0
11.0,14.0,10.0,11.0,10.0,12.0,9.0,11.0,10.0,14.0,9.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,0.32,0.9532908950617284,13.8
11.0,14.0,10.0,11.0,12.0,13.0,9.0,12.0,10.0,12.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,0.24,0.9626003086419752,10.6
10.0,14.0,9.0,13.0,11.0,12.0,12.0,13.0,10.0,14.0,11.0,12.0,9.0,12.0,12.0,14.0,11.0,14.0,0.0,0.0,5.2,0.34,0.9562654320987654,14.6
12.0,13.0,11.0,12.0,9.0,12.0,10.0,11.0,11.0,12.0,9.0,11.0,11.0,14.0,9.0,11.0,10.0,14.0,0.0,0.0,17.8,0.356,0.9500128600823045,15.4
10.0,12.0,12.0,14.0,9.0,13.0,10.0,14.0,10.0,13.0,12.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,0.336,0.9731211419753086,13.4
10.0,13.0,10.0,12.0,11.0,12.0,10.0,14.0,9.0,13.0,9.0,10.0,10.0,13.0,9.0,13.0,10.0,11.0,0.0,0.0,14.3,0.448,0.9632510288065842,19.6
10.0,14.0,12.0,13.0,9.0,11.0,12.0,14.0,9.0,13.0,11.0,13.0,11.0,13.0,11.0,14.0,10.0,14.0,0.0,0.0,15.1,0.476,0.9753163580246912,20.8
11.0,12.0,11.0,14.0,12.0,14.0,12.0,14.0,9.0,13.0,11.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9,0.3,0.9685262345679012,13.4
11.0,12.0,11.0,12.0,9.0,10.0,9.0,12.0,9.0,11.0,12.0,14.0,12.0,14.0,10.0,14.0,0.0,0.0,0.0,0.0,2.6,0.18,0.9441174768518517,6.8
11.0,12.0,9.0,11.0,9.0,13.0,9.0,13.0,9.0,10.0,9.0,13.0,9.0,12.0,12.0,14.0,9.0,11.0,0.0,0.0,12.5,0.436,0.9671219135802467,15.4
10.0,14.0,9.0,10.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.088,0.936759259259259,3.6
11.0,14.0,10.0,11.0,12.0,14.0,11.0,14.0,12.0,13.0,10.0,11.0,9.0,12.0,10.0,11.0,12.0,14.0,0.0,0.0,4.8,0.24,0.9359516460905348,8.8
11.0,12.0,10.0,12.0,9.0,13.0,9.0,13.0,9.0,10.0,9.0,13.0,9.0,12.0,12.0,14.0,9.0,11.0,0.0,0.0,12.4,0.432,0.964537037037037,16.6
10.0,14.0,12.0,13.0,10.0,12.0,11.0,13.0,9.0,13.0,11.0,13.0,11.0,13.0,11.0,14.0,10.0,14.0,0.0,0.0,15.1,0.48,0.9784079218106996,17.8
9.0,11.0,10.0,11.0,10.0,11.0,9.0,13.0,11.0,14.0,9.0,11.0,11.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4,0.32,0.9552910052910051,10.2
9.0,10.0,11.0,14.0,9.0,11.0,10.0,11.0,9.0,10.0,11.0,14.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9,0.24,0.9430753968253968,8.8
11.0,13.0,12.0,14.0,9.0,10.0,9.0,10.0,11.0,13.0,12.0,14.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9,0.24,0.9528174603174603,8.6
10.0,11.0,12.0,14.0,9.0,11.0,12.0,14.0,9.0,12.0,12.0,14.0,12.0,14.0,10.0,14.0,12.0,14.0,0.0,0.0,14.3,0.392,0.9750385802469135,13.0
10.0,14.0,9.0,13.0,10.0,12.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.148,0.9784895833333332,5.4
11.0,12.0,12.0,14.0,10.0,14.0,9.0,13.0,12.0,13.0,9.0,10.0,9.0,11.0,9.0,12.0,10.0,14.0,10.0,12.0,12.5,0.448,0.9543564814814814,16.8
11.0,14.0,9.0,13.0,12.0,13.0,11.0,13.0,11.0,12.0,10.0,13.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,0.32,0.9673677248677247,11.4
9.0,10.0,11.0,14.0,9.0,11.0,10.0,11.0,9.0,10.0,11.0,14.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9,0.24,0.9430753968253968,9.8
10.0,14.0,9.0,11.0,11.0,14.0,10.0,12.0,9.0,12.0,9.0,11.0,11.0,13.0,11.0,12.0,11.0,12.0,11.0,13.0,7.1,0.368,0.9587939814814813,17.6
11.0,12.0,9.0,11.0,9.0,13.0,9.0,12.0,9.0,10.0,9.0,13.0,9.0,12.0,11.0,14.0,9.0,11.0,0.0,0.0,12.4,0.44,0.9747222222222222,17.4
10.0,13.0,10.0,12.0,11.0,13.0,10.0,14.0,9.0,12.0,11.0,13.0,9.0,11.0,9.0,13.0,11.0,13.0,0.0,0.0,14.3,0.468,0.9785210905349795,19.2
10.0,14.0,12.0,13.0,9.0,11.0,9.0,13.0,11.0,13.0,11.0,13.0,11.0,14.0,10.0,14.0,0.0,0.0,0.0,0.0,14.8,0.424,0.9666319444444443,17.6
