robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,robot_speed_kmh,delivery_rate,utilization_rate,num_risks,run,problem,approach,generations,min_req,max_req
9,1,9,1,9,3,11,0,9,1,10,1,10,0,10,1,10,1,10,2,21,0.35825354,0.38772953,4.4924073,4,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
9,1,9,1,9,0,11,0,9,1,10,1,10,0,10,1,10,1,10,2,20,0.0729317,0.76408786,2.5887754,4,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
9,1,9,1,10,1,9,0,9,1,10,1,11,1,10,1,10,1,10,0,13,0.26672113,1.0457964,0.30029988,4,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
9,1,9,1,10,0,9,0,9,2,10,1,11,2,10,2,11,1,10,0,20,0.3282795,0.6126471,5.225906,4,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
9,1,9,1,9,1,11,0,9,1,10,1,11,0,10,1,10,1,10,2,21,0.1587352,0.7268732,4.7783933,4,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
9,1,9,1,10,1,9,0,9,1,10,1,11,0,10,1,10,1,10,0,12,0.18239841,0.9378585,0.7831348,4,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
9,1,9,1,10,0,9,0,9,2,10,1,11,2,10,2,11,1,10,0,20,0.3282795,0.6126471,5.225906,4,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
10,0,10,4,9,1,10,0,11,1,10,2,10,1,9,1,9,0,10,4,125,0.0,0.73371565,8.565706,5,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
9,1,10,3,9,1,11,0,11,4,10,2,10,1,9,1,9,0,9,4,102,0.24980871,0.5538981,11.499887,5,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
10,0,10,4,9,1,9,0,11,1,10,1,10,1,9,1,11,3,11,2,125,0.17996894,0.59297156,11.687134,5,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
10,1,11,3,11,1,10,0,11,0,10,0,9,0,9,0,11,0,9,0,17,0.047260582,1.0655637,0.7881034,5,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
9,0,11,3,10,1,9,0,11,1,10,0,9,0,9,0,11,0,11,0,21,0.04494506,1.1045214,1.0916218,5,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
9,1,10,3,9,1,11,0,11,4,10,2,10,1,9,1,9,0,9,4,102,0.24980871,0.5538981,11.499887,5,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
11,0,9,4,10,1,11,1,10,0,10,1,9,1,9,1,9,4,11,2,102,0.15032326,0.61230487,11.067857,5,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
9,1,9,3,9,1,9,0,11,1,10,0,10,1,9,1,11,0,9,0,123,0.1674506,0.67578655,6.417946,5,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
9,1,9,3,10,1,10,0,11,4,10,2,10,1,9,0,9,0,9,0,14,0.08758113,0.77293926,2.9269075,5,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
9,0,10,3,10,1,10,0,11,1,10,0,9,0,9,0,11,0,11,0,104,0.033372074,0.9205533,3.936499,5,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
9,0,10,3,10,1,10,0,11,1,10,0,9,0,9,0,11,0,11,0,104,0.033372074,0.9205533,3.936499,5,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
10,0,10,4,9,1,10,0,11,1,10,2,10,1,9,1,9,0,10,4,125,0.0,0.73371565,8.565706,5,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
12,3,11,2,11,4,11,3,11,3,9,0,11,4,9,0,9,2,11,0,116,0.0,0.6747199,8.99432,1,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
11,3,10,0,9,3,11,0,9,2,10,1,11,0,9,2,11,0,11,2,105,0.20108788,0.53911996,6.9256845,1,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
12,3,10,0,11,0,11,0,10,0,10,0,9,0,9,0,9,0,11,0,116,0.0,0.9941857,1.5867012,1,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
12,3,11,2,11,4,11,3,11,3,9,0,11,4,9,0,9,2,11,0,116,0.0,0.6747199,8.99432,1,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
11,3,10,0,9,3,11,0,9,2,10,1,11,0,9,2,11,0,11,2,105,0.20108788,0.53911996,6.9256845,1,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
12,3,10,0,11,0,11,0,10,0,9,0,9,0,9,0,9,0,11,0,116,0.0,0.9941857,1.5867012,1,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
9,3,10,0,11,0,9,0,9,1,9,0,9,0,9,0,9,0,9,0,84,0.133401,0.7902118,2.7894225,1,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
12,3,10,0,9,4,10,0,9,3,10,0,11,1,10,0,9,1,9,0,103,0.0,0.738217,6.04419,1,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
12,2,10,0,9,4,12,2,12,0,9,0,10,2,11,3,10,0,10,1,162,0.055539712,0.5933504,8.358472,1,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
12,3,10,0,10,4,10,0,9,3,10,0,10,3,10,1,9,1,9,1,83,0.10036422,0.63154566,7.233022,1,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
12,3,11,0,11,0,11,0,10,0,10,0,10,0,9,1,9,0,11,0,116,0.040903002,0.92240024,2.274824,1,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
12,3,10,0,11,0,11,0,9,0,10,1,11,0,9,0,9,0,11,0,83,0.07071222,0.88059115,2.1489813,1,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
11,0,11,0,9,0,9,1,9,0,9,1,11,0,10,0,12,1,11,1,10,0.0,0.3016022,0.0,2,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
11,0,11,0,9,0,9,1,9,0,9,1,11,0,10,0,12,1,11,1,10,0.0,0.3016022,0.0,2,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
11,0,11,0,9,0,9,1,9,0,9,1,11,0,10,0,12,1,11,1,10,0.0,0.3016022,0.0,2,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
11,0,11,0,9,0,9,1,9,0,9,1,11,0,10,0,12,1,11,1,10,0.0,0.3016022,0.0,2,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
11,0,11,0,9,0,9,1,9,0,9,1,11,0,10,0,12,1,11,1,10,0.0,0.3016022,0.0,2,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
11,0,11,0,9,0,9,1,9,0,9,1,11,0,10,0,12,1,11,1,10,0.0,0.3016022,0.0,2,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
11,0,11,0,9,0,9,1,9,0,9,1,11,0,10,0,12,1,11,1,10,0.0,0.3016022,0.0,2,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
11,0,11,0,9,0,9,1,9,0,9,1,11,0,10,0,12,1,11,1,10,0.0,0.3016022,0.0,2,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
11,0,11,0,9,0,9,1,9,0,9,1,11,0,10,0,12,1,11,1,10,0.0,0.3016022,0.0,2,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
11,0,11,0,9,0,9,1,9,0,9,1,11,0,10,0,12,1,11,1,10,0.0,0.3016022,0.0,2,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
11,0,11,0,9,0,9,1,9,0,9,1,11,0,10,0,12,1,11,1,10,0.0,0.3016022,0.0,2,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
11,0,11,0,9,0,9,1,9,0,9,1,11,0,10,0,12,1,11,1,10,0.0,0.3016022,0.0,2,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
9,1,9,0,9,0,9,1,9,1,9,2,10,0,11,0,12,1,12,0,56,0.26895168,0.65895,4.4315987,3,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
12,0,10,0,10,1,9,1,11,2,11,0,10,0,11,2,12,0,9,0,56,0.0,0.6710858,3.734458,3,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
9,0,9,0,9,0,9,0,11,1,10,0,10,0,11,0,12,0,12,0,55,0.0,0.8236487,0.095611125,3,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
9,1,9,0,9,0,9,1,9,1,9,2,10,0,11,0,12,1,12,0,56,0.26895168,0.65895,4.4315987,3,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
11,0,9,0,9,0,9,0,11,1,10,0,10,0,11,0,11,0,12,0,55,0.0,0.8236487,0.095611125,3,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
11,0,9,0,9,0,9,1,9,1,9,2,10,0,11,0,11,0,12,0,56,0.14177921,0.69134724,2.6074264,3,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
9,0,9,0,9,0,9,0,9,1,10,0,10,0,11,0,12,0,11,0,49,0.010158569,0.710008,0.30420643,3,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
9,0,9,0,9,0,9,1,9,1,9,2,10,0,11,0,11,0,12,0,56,0.14177921,0.69134724,2.6074264,3,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
9,0,9,0,9,0,9,0,9,1,9,0,10,0,11,0,12,0,12,0,54,0.0,0.7013021,0.5105921,3,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
9,0,9,0,9,0,9,0,10,1,9,0,10,0,11,0,12,0,12,0,46,0.00033846498,0.768704,0.1941344,3,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
9,0,9,0,9,0,9,0,10,1,9,0,10,0,11,0,12,0,12,0,54,0.0,0.75956786,0.4212577,3,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
9,0,9,0,9,0,9,0,11,1,10,0,10,0,11,0,12,0,12,0,54,0.0,0.81703633,0.3399455,3,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
11,0,11,0,11,0,9,1,10,0,9,0,9,0,12,0,10,0,11,0,12,0.14898309,0.6096354,0.0,26,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
11,0,12,1,11,1,9,0,10,0,9,0,9,0,12,0,10,0,9,0,13,0.02031231,0.966336,0.0,26,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
11,0,11,0,11,0,9,1,10,0,9,0,9,0,12,0,10,0,10,0,12,0.14898309,0.6096354,0.0,26,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
11,0,12,0,11,3,9,0,10,0,9,0,9,1,12,0,10,0,9,0,13,0.0367911,0.6699554,0.87951636,26,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
11,0,12,0,11,3,9,0,10,0,9,0,9,0,12,3,10,0,12,0,13,0.0,0.73360187,0.12737678,26,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
11,0,12,0,11,2,9,0,10,0,9,0,10,0,12,0,10,0,9,0,13,0.12768301,0.51779175,0.1704574,26,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
11,0,11,0,11,1,9,0,10,0,9,0,9,0,12,0,10,0,11,0,12,0.09956923,0.7559507,0.0,26,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
11,0,9,1,11,1,9,0,10,0,9,0,9,0,12,0,10,0,9,0,13,0.020885319,0.8474435,0.060863346,26,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
11,0,10,1,11,1,9,0,10,0,9,0,9,0,12,0,10,0,9,0,11,0.026514173,0.8921413,0.0,26,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
11,0,11,0,11,0,9,1,10,0,9,0,9,0,12,0,10,0,11,0,11,0.10147092,0.6800848,0.06870881,26,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
12,0,11,0,9,0,9,0,10,0,10,0,12,0,9,0,9,0,12,1,13,0.10436153,0.85049456,0.0,27,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
12,0,10,0,9,0,9,0,10,0,10,0,12,0,9,0,9,0,12,1,12,0.06936084,0.89398205,0.25857764,27,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
12,0,11,0,9,0,10,0,10,0,10,0,12,0,9,0,9,0,12,1,13,0.10436153,0.85049456,0.0,27,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
12,0,11,0,9,0,9,2,10,0,10,0,12,0,9,0,9,0,11,3,13,0.0,0.624586,2.511218,27,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
12,0,11,0,9,0,9,2,10,0,10,0,12,0,9,0,9,0,11,3,13,0.0,0.624586,2.511218,27,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
12,0,11,0,9,0,9,1,10,0,10,0,12,0,9,0,9,0,11,0,13,0.05776486,0.73665535,0.42002934,27,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
12,0,11,0,9,0,10,1,10,0,10,0,12,0,9,0,9,0,12,2,13,0.0,0.6819605,1.8277234,27,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
12,0,11,0,9,0,10,2,10,0,10,0,12,0,9,0,9,0,11,0,13,0.056663416,0.80673033,0.3959387,27,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
12,0,11,0,9,0,9,1,10,0,10,1,12,0,9,0,9,0,12,2,13,0.04683841,0.82508874,0.87088376,27,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
12,0,11,0,9,0,9,2,10,0,10,0,12,0,9,0,9,0,12,0,13,0.024929777,0.65645206,0.94576406,27,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
9,0,9,1,9,3,10,2,9,2,9,1,9,2,11,2,9,0,11,1,42,0.28821343,0.44636735,5.0923176,19,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
9,0,11,1,9,1,10,0,9,0,9,1,9,1,9,1,10,1,11,1,21,0.0043401886,0.8367773,0.5652005,19,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
9,0,10,1,9,1,10,0,9,1,9,1,9,1,10,1,9,0,11,1,18,0.010334181,0.7976557,0.56458175,19,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
10,4,9,4,11,4,10,0,11,2,9,3,9,1,9,4,12,2,12,3,24,0.19269069,0.58257365,6.8156085,19,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
9,0,9,1,9,3,10,2,9,2,9,1,9,2,11,2,9,0,11,1,42,0.28821343,0.44636735,5.0923176,19,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
9,0,11,1,9,1,10,0,9,0,9,1,9,1,9,1,10,1,11,1,21,0.0043401886,0.8367773,0.5652005,19,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
10,4,9,3,9,4,10,0,11,2,10,3,9,3,9,2,11,3,10,3,24,0.1746598,0.6290933,6.6801114,19,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
9,0,9,1,9,3,10,3,9,2,11,1,9,4,10,2,9,2,10,0,42,0.25107282,0.5580277,5.526623,19,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
9,0,9,1,9,1,10,0,9,2,9,1,9,1,9,2,9,0,11,1,17,0.05517365,0.7540164,2.306869,19,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
9,2,9,1,9,2,10,0,9,0,9,1,9,2,11,1,10,0,11,1,42,0.07234024,0.7279123,4.3631268,19,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
9,2,9,1,9,2,10,0,9,0,9,1,9,2,11,1,10,0,11,1,42,0.07234024,0.7279123,4.3631268,19,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
9,0,9,1,9,1,10,0,9,1,9,1,9,1,9,2,10,0,11,1,17,0.03849472,0.76608586,1.6023332,19,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
12,0,9,0,9,0,11,0,9,0,10,0,9,0,9,1,9,0,9,0,10,0.0403627,0.6435314,0.0,25,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
12,0,9,0,9,2,11,0,9,4,10,2,9,0,9,1,9,0,11,0,49,0.20373943,0.43562776,3.3731592,25,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
12,0,9,0,9,0,11,0,9,0,10,1,9,0,9,1,9,0,9,0,11,0.0,0.8152491,0.0,25,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
12,0,9,0,9,2,11,0,10,4,10,0,9,1,9,1,9,0,11,1,49,0.13776083,0.5634301,5.224681,25,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
12,0,9,0,9,0,11,0,9,0,10,1,9,0,9,1,9,0,9,0,11,0.0,0.8152491,0.0,25,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
12,0,9,0,9,2,11,0,9,4,10,2,9,0,9,1,9,0,11,0,49,0.20373943,0.43562776,3.3731592,25,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
12,0,9,3,9,1,11,0,11,4,10,0,9,0,9,1,9,0,11,1,49,0.16840377,0.55245405,5.095238,25,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
12,0,9,0,9,0,11,0,9,4,10,0,9,0,9,0,9,0,11,0,23,0.13776064,0.6365741,2.0718632,25,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
12,0,9,0,9,0,11,0,9,0,10,0,9,0,9,1,9,0,9,0,10,0.0403627,0.6435314,0.0,25,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
