,robot_speed,robot_speed_kmh,simulation_duration,generation,test_loss,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,delivery_rate,utilization_rate,num_risks,simulations,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,sequential_execution_time,execution_time
0,150,15.0,5,0,2.493934123005186,10,12,12,14,12,14,9,12,9,13,10,13,12,14,12,14,0,0,0,0,0.3825661,0.79780936,8.842463,1,0.79780936,0.3825661,8.842463,0,59713643048,50,0.0027151107788085938,0.0027151107788085938,3.301119804382324
1,172,17.2,5,0,2.493934123005186,12,14,10,11,12,13,11,12,10,12,9,10,11,13,11,13,0,0,0,0,0.331398,0.93967783,8.985455,1,0.93967783,0.331398,8.985455,1,59713643048,50,0.0009987354278564453,0.0009987354278564453,1.6732873916625977
2,73,7.3,5,0,2.493934123005186,11,14,12,14,10,12,12,13,12,13,11,13,10,13,9,11,0,0,0,0,0.34980667,0.5286971,7.3429875,1,0.5286971,0.34980667,7.3429875,2,59713643048,50,0.0,0.0,1.6809780597686768
3,143,14.3,5,0,2.493934123005186,11,14,11,14,10,12,12,14,9,12,10,14,10,12,11,14,12,14,0,0,0.11646095,1.3359674,10.871706,1,1.3359674,0.11646095,10.871706,3,59713643048,50,0.00099945068359375,0.00099945068359375,1.7561450004577637
4,26,2.6,5,0,2.493934123005186,9,11,11,12,9,11,11,12,9,12,12,14,9,13,10,14,0,0,0,0,0.394656,0.29682508,6.2485332,1,0.29682508,0.394656,6.2485332,4,59713643048,50,0.0009989738464355469,0.0009989738464355469,1.7050738334655762
5,190,19.0,5,0,2.493934123005186,10,11,10,14,10,14,11,14,11,13,10,11,12,14,12,14,10,12,0,0,0.14057234,1.3262395,11.3629,1,1.3262395,0.14057234,11.3629,5,59713643048,50,0.0009453296661376953,0.0009453296661376953,1.7281203269958496
6,158,15.8,5,0,2.493934123005186,11,12,12,14,11,12,11,12,11,12,12,14,10,11,12,14,12,14,0,0,0.13206974,1.2668607,10.648419,1,1.2668607,0.13206974,10.648419,6,59713643048,50,0.0,0.0,1.7242765426635742
7,122,12.2,5,0,2.493934123005186,12,13,12,14,11,12,9,11,12,14,12,13,12,14,0,0,0,0,0,0,0.15911785,0.87620807,8.72451,1,0.87620807,0.15911785,8.72451,7,59713643048,50,0.0,0.0,1.6918363571166992
8,94,9.4,5,0,2.493934123005186,12,14,12,14,12,14,10,12,10,13,12,13,11,13,12,13,0,0,0,0,0.40563136,0.6109166,7.779776,1,0.6109166,0.40563136,7.779776,8,59713643048,50,0.0010018348693847656,0.0010018348693847656,0.0069921016693115234
9,172,17.2,5,0,2.493934123005186,12,14,9,11,12,14,10,13,11,14,9,13,12,14,11,13,0,0,0,0,0.3475963,0.8942771,9.210933,1,0.8942771,0.3475963,9.210933,9,59713643048,50,0.0010001659393310547,0.0010001659393310547,0.009016036987304688
10,157,15.7,5,0,2.493934123005186,12,14,11,14,11,14,10,14,11,14,11,13,11,14,12,14,12,14,0,0,0.17792255,1.3500664,11.202863,1,1.3500664,0.17792255,11.202863,10,59713643048,50,0.0019822120666503906,0.0019822120666503906,0.011000871658325195
11,24,2.4,5,0,2.493934123005186,12,14,9,13,10,14,10,12,11,14,11,13,10,13,0,0,0,0,0,0,0.14364704,0.60127735,7.045994,1,0.60127735,0.14364704,7.045994,11,59713643048,50,0.0010023117065429688,0.0010023117065429688,0.011822938919067383
12,150,15.0,5,1,2.493934123005186,11,13,12,14,11,14,9,12,9,13,9,11,11,14,12,14,12,14,0,0,0.17403364,1.2701294,10.488334,1,1.2701294,0.17403364,10.488334,12,59713643048,50,0.00099945068359375,0.00099945068359375,0.014006614685058594
13,122,12.2,5,1,2.493934123005186,10,11,12,14,9,11,12,13,12,14,0,0,0,0,0,0,0,0,0,0,0.074677706,0.99534905,6.5876904,1,0.99534905,0.074677706,6.5876904,13,59713643048,50,0.000982046127319336,0.000982046127319336,0.009001016616821289
14,152,15.2,5,1,2.493934123005186,10,12,12,14,10,13,9,12,9,10,10,13,12,14,11,13,0,0,0,0,0.4322315,0.72822106,8.330712,1,0.72822106,0.4322315,8.330712,14,59713643048,50,0.0010008811950683594,0.0010008811950683594,0.005995988845825195
15,21,2.1,5,1,2.493934123005186,12,13,12,14,9,12,10,14,10,13,11,13,10,13,0,0,0,0,0,0,0.24784663,0.5166467,6.4123135,1,0.5166467,0.24784663,6.4123135,15,59713643048,50,0.0,0.0,0.011984109878540039
16,94,9.4,5,1,2.493934123005186,12,14,12,14,12,14,10,12,10,13,12,13,11,13,12,13,0,0,0,0,0.40563136,0.6109166,7.779776,1,0.6109166,0.40563136,7.779776,8,59713643048,50,0.0010018348693847656,0.0010018348693847656,0.003013134002685547
17,143,14.3,5,1,2.493934123005186,11,14,11,14,10,12,12,14,9,12,10,14,10,12,11,14,12,14,0,0,0.11646095,1.3359674,10.871706,1,1.3359674,0.11646095,10.871706,3,59713643048,50,0.00099945068359375,0.00099945068359375,0.0020012855529785156
18,143,14.3,5,1,2.493934123005186,11,14,10,14,10,12,12,14,10,12,10,13,10,11,10,12,11,14,11,14,0.04031217,1.3406054,11.280401,1,1.3406054,0.04031217,11.280401,16,59713643048,50,0.001018524169921875,0.001018524169921875,0.009016036987304688
19,172,17.2,5,1,2.493934123005186,11,14,10,11,12,13,9,12,10,12,11,13,0,0,0,0,0,0,0,0,0.022446215,1.1711273,8.776623,1,1.1711273,0.022446215,8.776623,17,59713643048,50,0.0009999275207519531,0.0009999275207519531,0.010019540786743164
20,172,17.2,5,1,2.493934123005186,12,14,9,11,12,14,10,13,11,14,9,13,11,13,11,13,0,0,0,0,0.3451519,0.9108303,9.176749,1,0.9108303,0.3451519,9.176749,18,59713643048,50,0.001001596450805664,0.001001596450805664,0.013526439666748047
21,143,14.3,5,1,2.493934123005186,10,14,11,14,10,12,12,14,9,12,10,14,10,12,11,14,12,14,0,0,0.11847639,1.3371065,10.861089,1,1.3371065,0.11847639,10.861089,19,59713643048,50,0.0,0.0,0.005999088287353516
22,26,2.6,5,1,2.493934123005186,9,11,11,12,9,11,9,11,9,12,12,14,9,13,10,14,0,0,0,0,0.4339208,0.26140386,5.9345455,1,0.26140386,0.4339208,5.9345455,20,59713643048,50,0.001003265380859375,0.001003265380859375,0.011996746063232422
23,172,17.2,5,1,2.493934123005186,12,14,9,11,12,14,11,12,11,14,9,13,11,14,11,13,0,0,0,0,0.31883043,0.91390115,9.325714,1,0.91390115,0.31883043,9.325714,21,59713643048,50,0.0,0.0,0.0070018768310546875
24,24,2.4,5,2,2.493934123005186,12,14,9,13,10,14,10,12,11,13,9,12,0,0,0,0,0,0,0,0,0.18481937,0.730698,5.944195,1,0.730698,0.18481937,5.944195,22,59713643048,50,0.0,0.0,0.006988525390625
25,122,12.2,5,2,2.493934123005186,10,11,12,13,9,11,12,14,12,14,0,0,0,0,0,0,0,0,0,0,0.09316984,0.96595347,6.4354105,1,0.96595347,0.09316984,6.4354105,23,59713643048,50,0.0,0.0,0.007016897201538086
26,122,12.2,5,2,2.493934123005186,11,12,11,14,11,12,9,11,9,11,11,12,12,14,11,13,0,0,0,0,0.36813462,0.717308,8.258578,1,0.717308,0.36813462,8.258578,24,59713643048,50,0.001001596450805664,0.001001596450805664,0.006995677947998047
27,142,14.2,5,2,2.493934123005186,11,14,10,14,10,11,12,14,11,13,10,11,10,13,11,14,0,0,0,0,0.29207975,0.8876392,9.174946,1,0.8876392,0.29207975,9.174946,25,59713643048,50,0.0010106563568115234,0.0010106563568115234,0.008998870849609375
28,26,2.6,5,2,2.493934123005186,9,11,10,11,9,11,9,11,11,14,12,14,11,14,10,14,0,0,0,0,0.4237451,0.19525792,5.904321,1,0.19525792,0.4237451,5.904321,26,59713643048,50,0.001008749008178711,0.001008749008178711,0.014007568359375
29,24,2.4,5,2,2.493934123005186,12,13,9,12,10,14,9,11,9,12,9,11,10,13,0,0,0,0,0,0,0.16823316,0.59006995,6.476756,1,0.59006995,0.16823316,6.476756,27,59713643048,50,0.0,0.0,0.017519235610961914
30,163,16.3,5,2,2.493934123005186,11,13,11,12,9,10,9,12,9,12,11,13,0,0,0,0,0,0,0,0,0.03664437,1.0637032,8.292703,1,1.0637032,0.03664437,8.292703,28,59713643048,50,0.0010006427764892578,0.0010006427764892578,0.010005474090576172
31,34,3.4,5,2,2.493934123005186,9,11,9,10,12,14,9,11,9,12,12,13,9,13,9,12,0,0,0,0,0.2967309,0.38394302,6.5306287,1,0.38394302,0.2967309,6.5306287,29,59713643048,50,0.0,0.0,0.009001016616821289
32,14,1.4,5,2,2.493934123005186,9,13,10,14,9,10,11,14,9,12,0,0,0,0,0,0,0,0,0,0,0.06727615,0.79706424,4.4027505,1,0.79706424,0.06727615,4.4027505,30,59713643048,50,0.0,0.0,0.009998798370361328
33,182,18.2,5,2,2.493934123005186,11,14,12,14,12,13,10,11,9,12,10,12,9,10,11,13,0,0,0,0,0.3525654,1.0497165,9.372847,1,1.0497165,0.3525654,9.372847,31,59713643048,50,0.0010046958923339844,0.0010046958923339844,0.015995025634765625
34,122,12.2,5,2,2.493934123005186,10,11,10,13,9,11,12,13,9,10,11,12,0,0,0,0,0,0,0,0,0.027664393,1.0029132,8.062105,1,1.0029132,0.027664393,8.062105,32,59713643048,50,0.0010058879852294922,0.0010058879852294922,0.006005764007568359
35,26,2.6,5,2,2.493934123005186,9,10,9,10,9,11,9,11,12,14,12,14,10,14,0,0,0,0,0,0,0.061392486,0.30603105,5.993464,1,0.30603105,0.061392486,5.993464,33,59713643048,50,0.0,0.0,0.008988380432128906
36,26,2.6,5,3,2.493934123005186,9,11,9,10,10,11,9,11,12,14,9,12,10,14,0,0,0,0,0,0,0.044748783,0.38186595,5.773599,1,0.38186595,0.044748783,5.773599,34,59713643048,50,0.0010025501251220703,0.0010025501251220703,0.013012170791625977
37,26,2.6,5,3,2.493934123005186,9,10,11,12,9,10,9,11,9,11,12,14,12,14,10,14,0,0,0,0,0.480011,0.20618679,5.5921936,1,0.20618679,0.480011,5.5921936,35,59713643048,50,0.0010068416595458984,0.0010068416595458984,0.006014823913574219
38,24,2.4,5,3,2.493934123005186,12,13,9,13,10,14,10,12,11,13,9,12,0,0,0,0,0,0,0,0,0.2061472,0.7062246,5.862261,1,0.7062246,0.2061472,5.862261,36,59713643048,50,0.0010035037994384766,0.0010035037994384766,0.010004520416259766
39,24,2.4,5,3,2.493934123005186,12,14,9,13,10,14,10,12,11,14,11,13,10,13,0,0,0,0,0,0,0.14364704,0.60127735,7.045994,1,0.60127735,0.14364704,7.045994,11,59713643048,50,0.0010023117065429688,0.0010023117065429688,0.003996610641479492
40,24,2.4,5,3,2.493934123005186,11,14,9,12,10,14,9,11,11,13,12,13,9,12,0,0,0,0,0,0,0.14105916,0.55032396,6.6963773,1,0.55032396,0.14105916,6.6963773,37,59713643048,50,0.0010023117065429688,0.0010023117065429688,0.010007143020629883
41,122,12.2,5,3,2.493934123005186,10,11,10,13,9,11,10,11,11,12,0,0,0,0,0,0,0,0,0,0,0.03692782,0.9728019,6.287057,1,0.9728019,0.03692782,6.287057,38,59713643048,50,0.0,0.0,0.01399374008178711
42,25,2.5,5,3,2.493934123005186,9,13,10,14,11,13,9,12,9,12,0,0,0,0,0,0,0,0,0,0,0.11872998,0.862243,4.601555,1,0.862243,0.11872998,4.601555,39,59713643048,50,0.0010106563568115234,0.0010106563568115234,0.012988567352294922
43,24,2.4,5,3,2.493934123005186,10,12,10,13,9,11,9,11,9,12,12,14,9,12,0,0,0,0,0,0,0.108621955,0.51277846,6.5620418,1,0.51277846,0.108621955,6.5620418,40,59713643048,50,0.0,0.0,0.010000228881835938
