,robot_speed,robot_speed_kmh,simulation_duration,generation,test_loss,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,delivery_rate,utilization_rate,num_risks,simulations,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,sequential_execution_time,execution_time
0,129,12.9,5,0,0.6717069362423249,10,14,10,11,12,14,9,10,10,12,12,14,12,14,12,14,0,0,0,0,0.29904172,1.0399418,8.487519,1,1.0399418,0.29904172,8.487519,0,59713643048,50,0.0,0.0,0.0009996891021728516
1,50,5.0,5,0,0.6717069362423249,9,10,12,14,12,14,9,13,10,12,10,11,12,13,12,14,0,0,0,0,0.34598908,0.945856,5.855216,1,0.945856,0.34598908,5.855216,1,59713643048,50,0.0009999275207519531,0.0009999275207519531,0.00099945068359375
2,104,10.4,5,0,0.6717069362423249,12,14,9,10,10,12,9,10,12,13,11,14,12,13,10,12,0,0,0,0,0.3090584,0.9731569,7.023087,1,0.9731569,0.3090584,7.023087,2,59713643048,50,0.0009996891021728516,0.0009996891021728516,0.0009989738464355469
3,62,6.2,5,0,0.6717069362423249,12,13,9,13,11,14,11,14,11,13,11,12,12,14,10,12,9,10,0,0,0.289462,0.8634718,8.465629,1,0.8634718,0.289462,8.465629,3,59713643048,50,0.0009996891021728516,0.0009996891021728516,0.00400233268737793
4,165,16.5,5,0,0.6717069362423249,10,14,10,13,12,13,11,14,10,12,10,14,10,13,11,12,0,0,0,0,0.30144486,1.0964739,9.642856,1,1.0964739,0.30144486,9.642856,4,59713643048,50,0.0,0.0,0.003519296646118164
5,161,16.1,5,0,0.6717069362423249,12,14,9,11,11,13,11,12,11,14,10,11,9,11,9,10,11,14,0,0,0.22564188,1.0732808,11.521695,1,1.0732808,0.22564188,11.521695,5,59713643048,50,0.001001119613647461,0.001001119613647461,0.003000020980834961
6,23,2.3,5,0,0.6717069362423249,9,11,10,14,10,13,10,14,10,14,12,14,11,12,10,11,11,14,0,0,0.35759076,0.7592265,8.140477,1,0.7592265,0.35759076,8.140477,6,59713643048,50,0.0009999275207519531,0.0009999275207519531,0.004993438720703125
7,120,12.0,5,0,0.6717069362423249,10,12,10,13,11,14,10,14,11,13,10,12,11,13,11,13,12,14,11,13,0.2353963,0.86830205,11.197822,1,0.86830205,0.2353963,11.197822,7,59713643048,50,0.0010008811950683594,0.0010008811950683594,0.005999088287353516
8,65,6.5,5,0,0.6717069362423249,12,13,12,14,12,13,9,10,9,12,11,14,12,13,12,13,11,13,0,0,0.26043865,0.8549213,8.640116,1,0.8549213,0.26043865,8.640116,8,59713643048,50,0.0,0.0,0.005993366241455078
9,112,11.2,5,0,0.6717069362423249,11,12,9,11,12,14,9,10,9,12,12,13,11,14,10,11,11,14,9,12,0.21114543,0.8683488,10.878596,1,0.8683488,0.21114543,10.878596,9,59713643048,50,0.001001596450805664,0.001001596450805664,0.005002737045288086
