,robot_speed,robot_speed_kmh,simulation_duration,generation,test_loss,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,delivery_rate,utilization_rate,num_risks,simulations,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,sequential_execution_time,execution_time
0,59,5.9,5,0,0.6543884677546364,9,13,11,12,12,13,12,14,12,14,12,14,12,14,0,0,0,0,0,0,0.24096489,0.8084101,7.9284854,1,0.8084101,0.24096489,7.9284854,0,59713643048,50,0.0009980201721191406,0.0009980201721191406,0.002995729446411133
1,56,5.6,5,0,0.6543884677546364,12,14,10,11,10,12,10,14,11,13,11,14,11,14,9,13,9,10,0,0,0.28955543,0.8844712,8.066497,1,0.8844712,0.28955543,8.066497,1,59713643048,50,0.0009996891021728516,0.0009996891021728516,0.0009906291961669922
2,135,13.5,5,0,0.6543884677546364,9,13,9,10,12,14,12,13,10,12,10,11,12,13,9,12,0,0,0,0,0.2995299,0.80315757,9.715276,1,0.80315757,0.2995299,9.715276,2,59713643048,50,0.0009989738464355469,0.0009989738464355469,0.0010018348693847656
3,180,18.0,5,0,0.6543884677546364,12,13,11,12,9,12,11,13,11,13,9,12,10,14,10,14,0,0,0,0,0.26767433,0.98669523,10.129697,1,0.98669523,0.26767433,10.129697,3,59713643048,50,0.0,0.0,0.0020024776458740234
4,191,19.1,5,0,0.6543884677546364,11,14,10,11,12,14,12,14,12,14,10,13,12,13,9,10,0,0,0,0,0.29900312,0.92375726,10.739681,1,0.92375726,0.29900312,10.739681,4,59713643048,50,0.0,0.0,0.004006385803222656
5,154,15.4,5,0,0.6543884677546364,10,11,9,11,9,11,9,11,11,14,10,12,0,0,0,0,0,0,0,0,0.16639352,0.8731748,8.203591,1,0.8731748,0.16639352,8.203591,5,59713643048,50,0.0,0.0,0.0009999275207519531
6,84,8.4,5,0,0.6543884677546364,12,14,9,12,10,11,9,13,12,14,10,12,12,14,10,14,12,14,0,0,0.26095796,0.9143548,9.332436,1,0.9143548,0.26095796,9.332436,6,59713643048,50,0.0009915828704833984,0.0009915828704833984,0.001995086669921875
7,116,11.6,5,0,0.6543884677546364,12,14,9,10,9,11,12,13,9,11,9,13,9,11,9,11,11,13,10,13,0.20828128,1.0948396,11.344595,1,1.0948396,0.20828128,11.344595,7,59713643048,50,0.000949859619140625,0.000949859619140625,0.003993988037109375
8,20,2.0,5,0,0.6543884677546364,9,13,11,12,9,13,10,12,10,14,9,10,11,14,9,11,0,0,0,0,0.18476748,0.79922694,5.7530127,1,0.79922694,0.18476748,5.7530127,8,59713643048,50,0.0009975433349609375,0.0009975433349609375,0.0010006427764892578
9,190,19.0,5,0,0.6543884677546364,10,11,10,14,11,13,11,13,10,12,12,14,9,13,0,0,0,0,0,0,0.1204859,1.0344756,10.604971,1,1.0344756,0.1204859,10.604971,9,59713643048,50,0.0,0.0,0.0009996891021728516
10,109,10.9,5,0,0.6543884677546364,11,14,10,14,11,14,12,14,10,14,11,14,0,0,0,0,0,0,0,0,0.1814279,0.87200034,8.470405,1,0.87200034,0.1814279,8.470405,10,59713643048,50,0.0,0.0,0.0010006427764892578
11,83,8.3,5,0,0.6543884677546364,9,10,11,14,9,12,12,14,11,14,12,14,12,13,0,0,0,0,0,0,0.20864785,0.7980496,7.8674455,1,0.7980496,0.20864785,7.8674455,11,59713643048,50,0.0019979476928710938,0.0019979476928710938,0.0020020008087158203
12,56,5.6,5,1,0.6543884677546364,10,11,10,12,10,12,11,13,11,13,9,13,0,0,0,0,0,0,0,0,0.17332172,0.76014227,5.5672684,1,0.76014227,0.17332172,5.5672684,12,59713643048,50,0.0,0.0,0.0009849071502685547
13,154,15.4,5,1,0.6543884677546364,10,13,9,11,9,12,9,11,10,13,11,14,10,12,0,0,0,0,0,0,0.16357887,0.91379267,9.687968,1,0.91379267,0.16357887,9.687968,13,59713643048,50,0.0,0.0,0.005006074905395508
14,59,5.9,5,1,0.6543884677546364,9,13,11,12,12,13,12,14,12,14,12,14,12,14,0,0,0,0,0,0,0.24096489,0.8084101,7.9284854,1,0.8084101,0.24096489,7.9284854,0,59713643048,50,0.0009980201721191406,0.0009980201721191406,0.003007650375366211
15,59,5.9,5,1,0.6543884677546364,9,13,11,12,12,13,12,14,12,14,12,14,12,14,0,0,0,0,0,0,0.24096489,0.8084101,7.9284854,1,0.8084101,0.24096489,7.9284854,0,59713643048,50,0.0009980201721191406,0.0009980201721191406,0.0019986629486083984
16,82,8.2,5,1,0.6543884677546364,9,10,10,13,9,10,11,12,10,11,12,14,9,13,0,0,0,0,0,0,0.21514189,0.79611665,7.949785,1,0.79611665,0.21514189,7.949785,14,59713643048,50,0.0009980201721191406,0.0009980201721191406,0.004008054733276367
17,190,19.0,5,1,0.6543884677546364,10,11,11,14,9,12,12,14,11,14,12,14,0,0,0,0,0,0,0,0,0.17933822,0.9977381,9.688828,1,0.9977381,0.17933822,9.688828,15,59713643048,50,0.0010037422180175781,0.0010037422180175781,0.001997709274291992
18,15,1.5,5,1,0.6543884677546364,12,13,9,10,9,12,9,12,11,13,9,12,9,11,0,0,0,0,0,0,0.16894805,0.7513331,4.3578606,1,0.7513331,0.16894805,4.3578606,16,59713643048,50,0.0020112991333007812,0.0020112991333007812,0.0020041465759277344
19,185,18.5,5,1,0.6543884677546364,9,12,10,11,9,11,9,11,10,14,10,11,11,14,11,14,9,12,0,0,0.12817323,1.0466115,11.971825,1,1.0466115,0.12817323,11.971825,17,59713643048,50,0.0,0.0,0.001504659652709961
20,109,10.9,5,1,0.6543884677546364,11,14,10,14,11,14,12,14,10,14,11,14,0,0,0,0,0,0,0,0,0.1814279,0.87200034,8.470405,1,0.87200034,0.1814279,8.470405,10,59713643048,50,0.0,0.0,0.002003908157348633
21,109,10.9,5,1,0.6543884677546364,11,14,10,14,11,14,12,14,10,14,11,14,0,0,0,0,0,0,0,0,0.1814279,0.87200034,8.470405,1,0.87200034,0.1814279,8.470405,10,59713643048,50,0.0,0.0,0.0019898414611816406
22,154,15.4,5,1,0.6543884677546364,10,11,9,11,9,11,11,13,10,11,11,14,10,12,0,0,0,0,0,0,0.18831348,0.88587666,9.393588,1,0.88587666,0.18831348,9.393588,18,59713643048,50,0.00099945068359375,0.00099945068359375,0.004998207092285156
23,180,18.0,5,1,0.6543884677546364,12,13,10,11,9,11,9,11,9,11,10,14,10,13,0,0,0,0,0,0,0.21889317,0.9992849,9.6616745,1,0.9992849,0.21889317,9.6616745,19,59713643048,50,0.0010001659393310547,0.0010001659393310547,0.0020024776458740234
24,188,18.8,5,2,0.6543884677546364,9,12,10,11,9,11,9,12,10,14,10,11,11,14,11,14,9,12,0,0,0.11037612,1.0497963,12.077734,1,1.0497963,0.11037612,12.077734,20,59713643048,50,0.0010085105895996094,0.0010085105895996094,0.0029997825622558594
25,56,5.6,5,2,0.6543884677546364,10,11,10,12,10,12,11,13,11,13,9,13,0,0,0,0,0,0,0,0,0.17332172,0.76014227,5.5672684,1,0.76014227,0.17332172,5.5672684,12,59713643048,50,0.0,0.0,0.000989675521850586
26,15,1.5,5,2,0.6543884677546364,12,13,9,10,9,12,9,12,9,13,0,0,0,0,0,0,0,0,0,0,0.061695274,0.8199402,3.533621,1,0.8199402,0.061695274,3.533621,21,59713643048,50,0.000993490219116211,0.000993490219116211,0.00400090217590332
27,190,19.0,5,2,0.6543884677546364,10,11,10,14,12,14,11,13,11,12,11,13,10,12,9,11,9,10,0,0,0.13487768,0.97659034,11.623664,1,0.97659034,0.13487768,11.623664,22,59713643048,50,0.0010001659393310547,0.0010001659393310547,0.0009975433349609375
28,15,1.5,5,2,0.6543884677546364,10,11,9,12,9,12,10,11,11,14,9,11,0,0,0,0,0,0,0,0,0.08984244,0.7489973,3.7622056,1,0.7489973,0.08984244,3.7622056,23,59713643048,50,0.0,0.0,0.007000923156738281
29,154,15.4,5,2,0.6543884677546364,11,12,9,10,9,11,9,11,9,11,9,12,10,12,0,0,0,0,0,0,0.21088696,0.8924616,8.993234,1,0.8924616,0.21088696,8.993234,24,59713643048,50,0.0,0.0,0.0020029544830322266
30,83,8.3,5,2,0.6543884677546364,9,10,9,13,9,12,9,13,11,14,12,14,9,10,0,0,0,0,0,0,0.16207397,0.7193586,7.088203,1,0.7193586,0.16207397,7.088203,25,59713643048,50,0.0,0.0,0.001995086669921875
31,185,18.5,5,2,0.6543884677546364,9,11,10,11,9,11,10,12,10,14,12,13,11,14,11,14,12,14,0,0,0.073773146,1.0650964,12.512767,1,1.0650964,0.073773146,12.512767,26,59713643048,50,0.000985860824584961,0.000985860824584961,0.0010006427764892578
32,82,8.2,5,2,0.6543884677546364,9,10,10,13,9,10,11,12,10,11,12,14,10,14,0,0,0,0,0,0,0.21841317,0.7944187,7.985368,1,0.7944187,0.21841317,7.985368,27,59713643048,50,0.0010006427764892578,0.0010006427764892578,0.003998279571533203
33,190,19.0,5,2,0.6543884677546364,10,11,10,14,11,13,11,13,10,11,12,13,9,13,0,0,0,0,0,0,0.124358535,1.019039,10.457415,1,1.019039,0.124358535,10.457415,28,59713643048,50,0.0009949207305908203,0.0009949207305908203,0.0009944438934326172
34,190,19.0,5,2,0.6543884677546364,10,11,11,14,9,13,12,14,11,14,12,14,0,0,0,0,0,0,0,0,0.17205799,0.9969892,9.66319,1,0.9969892,0.17205799,9.66319,29,59713643048,50,0.0,0.0,0.004998207092285156
35,82,8.2,5,2,0.6543884677546364,9,10,10,13,9,10,11,12,10,11,12,14,9,13,0,0,0,0,0,0,0.21514189,0.79611665,7.949785,1,0.79611665,0.21514189,7.949785,14,59713643048,50,0.0009980201721191406,0.0009980201721191406,0.005003929138183594
36,191,19.1,5,3,0.6543884677546364,10,12,10,11,10,12,11,13,11,13,12,14,9,12,0,0,0,0,0,0,0.1555686,1.0238732,10.738381,1,1.0238732,0.1555686,10.738381,30,59713643048,50,0.0,0.0,0.004000186920166016
37,188,18.8,5,3,0.6543884677546364,9,10,11,14,9,11,9,12,10,14,10,11,9,12,11,14,9,12,0,0,0.082545996,1.0360419,11.847914,1,1.0360419,0.082545996,11.847914,31,59713643048,50,0.0,0.0,0.0009999275207519531
38,154,15.4,5,3,0.6543884677546364,9,11,9,11,9,11,10,14,10,12,0,0,0,0,0,0,0,0,0,0,0.102647066,0.9131534,7.658803,1,0.9131534,0.102647066,7.658803,32,59713643048,50,0.0019979476928710938,0.0019979476928710938,0.003008127212524414
39,185,18.5,5,3,0.6543884677546364,9,11,9,11,9,11,10,14,12,14,10,14,12,14,0,0,0,0,0,0,0.13971305,0.95202696,10.250522,1,0.95202696,0.13971305,10.250522,33,59713643048,50,0.0,0.0,0.0010013580322265625
